xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6
60.0,75.0,60.0,75.0,0.121568635106087,0.121568635106087,0.033,0.004011764958500871,9.604686356149273,56.0,87.0,56.0,87.0,0.176470592617989,0.176470592617989,0.082,0.014470588594675099,4.924428900898052,51.0,121.0,51.0,121.0,0.172549024224281,0.172549024224281,0.125,0.021568628028035126,38.616706229299254,80.0,84.0,80.0,84.0,0.176470592617989,0.176470592617989,0.125,0.022058824077248625,26.043233286210835,69.0,125.0,69.0,125.0,0.176470592617989,0.176470592617989,0.125,0.022058824077248625,45.069390943299865,45.0,82.0,45.0,82.0,0.172549024224281,0.172549024224281,0.141,0.02432941241562362,9.013878188659973,46.0,117.0,46.0,117.0,0.172549024224281,0.172549024224281,0.099,0.01708235339820382,35.415392133929565,62.0,128.0,62.0,128.0,0.18431372940540303,0.18431372940540303,0.141,0.025988235846161823,46.19794367718113,1.62,1.587,0.474,0.392,0.408,0.283,0.509,0.384,0.642,0.517,0.492,0.351,0.467,0.368
40.0,98.0,40.0,98.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,20.886598574205422,39.0,51.0,39.0,51.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,34.88911004883902,61.0,89.0,61.0,89.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,9.5524865872714,64.0,79.0,64.0,79.0,0.18431372940540303,0.18431372940540303,0.116,0.02138039261102675,10.594810050208546,52.0,82.0,55.0,88.0,0.18431372940540303,0.14117647707462302,0.066,0.0121647061407566,5.5901699437494745,47.0,60.0,47.0,60.0,0.172549024224281,0.172549024224281,0.117,0.02018823583424088,23.56374333589636,52.0,124.0,52.0,124.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,41.548164821084455,53.0,145.0,53.0,145.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,62.50799948806552,0.642,0.568,0.283,0.192,0.259,0.159,0.458,0.342,0.65,0.584,0.434,0.317,0.509,0.409
48.0,101.0,54.0,103.0,0.176470592617989,0.149019613862038,0.092,0.01623529452085499,20.5,38.0,58.0,38.0,58.0,0.180392161011696,0.180392161011696,0.117,0.021105882838368433,29.261749776799064,54.0,103.0,54.0,103.0,0.180392161011696,0.180392161011696,0.133,0.02399215741455557,20.5,65.0,85.0,65.0,85.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,11.280514172678478,63.0,90.0,74.0,92.0,0.180392161011696,0.137254908680916,0.099,0.017858823940157906,22.14158982548453,72.0,54.0,72.0,54.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,33.70830758136635,19.0,68.0,19.0,68.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,37.88469347902923,53.0,68.0,53.0,68.0,0.18823531270027202,0.18823531270027202,0.033,0.006211765319108977,14.534441853748634,0.659,0.567,0.3,0.183,0.359,0.226,1.744,1.661,0.524,0.425,0.434,0.326,0.433,0.359
20.0,135.0,26.0,138.0,0.176470592617989,0.172549024224281,0.1,0.0176470592617989,62.16309194369276,50.0,90.0,48.0385131835937,92.9422607421875,0.180392161011696,0.14509804546833,0.1,0.0180392161011696,12.024147972726233,56.0,125.0,56.0,125.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,42.547032799009614,78.0,61.0,78.0,61.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,32.22188697143605,46.0,103.0,46.0,103.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,22.005681084665387,45.0,98.0,45.0,98.0,0.15686275064945202,0.15686275064945202,0.159,0.024941177353262872,17.92344832893492,16.0,142.0,49.0,116.0,0.172549024224281,0.152941182255745,0.142,0.0245019614398479,33.8710791088799,54.0,158.0,54.0,158.0,0.19215688109397897,0.19215688109397897,0.091,0.017486276179552087,75.5,0.675,0.575,0.267,0.167,0.25,0.167,0.517,0.417,0.375,0.3,0.484,0.325,0.584,0.442
59.0,157.0,59.0,157.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,74.66759672039807,61.0,133.0,61.0,133.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,50.98284025042151,45.0,100.0,45.0,100.0,0.18823531270027202,0.18823531270027202,0.099,0.018635295957326933,19.67866865415443,59.0,40.0,71.0,44.0,0.18823531270027202,0.14509804546833,0.141,0.026541179090738352,42.08622102303793,56.0,117.0,56.0,117.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,34.55792239125495,47.0,88.0,47.0,88.0,0.172549024224281,0.172549024224281,0.117,0.02018823583424088,8.902246907382429,45.0,146.0,45.0,146.0,0.15686275064945202,0.15686275064945202,0.092,0.014431373059749585,64.1346240341362,52.0,99.0,52.0,99.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,16.62077013859466,0.676,0.568,0.734,0.643,0.275,0.176,0.483,0.342,0.6,0.5,0.609,0.492,0.709,0.617
72.0,104.0,72.0,104.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,28.040149785619906,24.0,95.0,24.0,95.0,0.18431372940540303,0.18431372940540303,0.124,0.022854902446269976,32.5,54.0,92.0,54.0,92.0,0.180392161011696,0.180392161011696,0.133,0.02399215741455557,9.5,21.0,68.0,21.0,68.0,0.18431372940540303,0.18431372940540303,0.117,0.021564706340432154,36.04511062543712,66.0,115.0,66.0,115.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,34.64462440264001,45.0,90.0,45.0,90.0,0.176470592617989,0.176470592617989,0.133,0.02347058881819254,11.715374513859981,6.0,109.0,6.0,109.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,54.82928049865327,65.0,96.0,65.0,96.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,17.414074767267998,0.484,0.392,0.358,0.234,0.358,0.225,0.501,0.384,0.625,0.551,0.467,0.334,0.875,0.767
77.0,145.0,77.0,145.0,0.14117647707462302,0.14117647707462302,0.116,0.01637647134065627,66.59767263200719,46.0,137.0,46.0,137.0,0.18431372940540303,0.18431372940540303,0.117,0.021564706340432154,55.084026722816844,58.0,134.0,58.0,134.0,0.180392161011696,0.180392161011696,0.125,0.022549020126462,51.655106233556424,45.0,90.0,45.0,90.0,0.18431372940540303,0.18431372940540303,0.117,0.021564706340432154,11.715374513859981,48.0,110.0,48.0,110.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,28.146935890075138,38.0,69.0,38.0,69.0,0.180392161011696,0.180392161011696,0.117,0.021105882838368433,20.93442141545832,39.0,117.0,39.0,117.0,0.180392161011696,0.180392161011696,0.117,0.021105882838368433,37.61980861195336,27.0,71.0,27.0,71.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,29.34706118165838,0.825,0.709,0.3,0.183,0.342,0.217,0.45,0.333,0.642,0.542,0.425,0.308,0.476,0.359
43.0,106.0,43.0,106.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,25.947061490658243,46.0,75.0,46.0,75.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,10.965856099730654,52.0,127.0,52.0,127.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,44.54492114708477,40.0,77.0,40.0,77.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,15.041608956491324,69.0,106.0,80.0,120.0,0.18431372940540303,0.14117647707462302,0.125,0.02303921617567538,45.63167759353145,57.0,97.0,57.0,97.0,0.172549024224281,0.172549024224281,0.125,0.021568628028035126,14.807092894960848,46.0,159.0,46.0,159.0,0.133333340287209,0.133333340287209,0.134,0.017866667598486007,76.91716323422231,53.0,113.0,53.0,113.0,0.19607844948768602,0.19607844948768602,0.108,0.02117647254467009,30.516389039334257,0.45,0.359,0.759,0.676,0.25,0.15,0.442,0.342,0.517,0.392,0.475,0.35,0.493,0.359
77.0,107.0,77.0,107.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,33.60431519909311,53.0,91.0,53.0,91.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,8.558621384311845,68.0,111.0,68.0,111.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,31.752952618614856,69.0,67.0,80.0,69.0,0.18431372940540303,0.14117647707462302,0.083,0.015298039540648452,29.295904150580505,60.0,99.0,59.0,105.0,0.180392161011696,0.113725498318672,0.083,0.014972549363970768,23.04886114323222,39.0,78.0,39.0,78.0,0.176470592617989,0.176470592617989,0.125,0.022058824077248625,15.660459763365825,27.0,151.0,27.0,151.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,73.62913825381905,44.0,105.0,44.9860610961914,107.958129882812,0.18823531270027202,0.176470592617989,0.092,0.017317648768425026,27.0068041739803,0.484,0.401,0.225,0.159,0.25,0.142,0.442,0.359,0.409,0.326,0.417,0.292,0.358,0.267
76.0,106.0,69.75421142578121,105.188598632812,0.172549024224281,0.152941182255745,0.116,0.020015686810016597,27.621869697199244,31.0,124.0,30.0,136.0,0.180392161011696,0.0980392247438431,0.1,0.0180392161011696,58.63659267044769,70.0,131.0,70.0,131.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,51.07102896946565,55.0,93.0,57.8114624023437,92.0,0.18431372940540303,0.12941177189350098,0.108,0.019905882775783527,10.236075695523143,72.0,128.0,72.0,128.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,48.93107397145499,7.0,81.0,7.0,81.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,47.02393007820593,19.0,140.0,19.0,140.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,67.3145600891813,63.0,134.0,63.0,134.0,0.20000001788139302,0.20000001788139302,0.082,0.01640000146627423,52.28049349422785,0.492,0.376,0.217,0.117,0.25,0.142,0.425,0.317,0.417,0.334,0.392,0.284,0.392,0.284
