xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5
8.0,99.0,8.0,99.0,0.172549024224281,0.172549024224281,0.041,0.007074509993195521,48.869724779253666,50.0,127.0,50.0,127.0,0.172549024224281,0.172549024224281,0.05,0.008627451211214051,44.67941360403021,39.0,72.0,39.0,72.0,0.149019613862038,0.149019613862038,0.05,0.0074509806931019,18.309833423600555,30.0,147.0,30.0,147.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,68.82041848172678,45.0,134.0,45.0,134.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,52.28049349422785,28.0,130.0,28.0,130.0,0.172549024224281,0.172549024224281,0.057,0.009835294380784019,54.150253923689036,30.0,137.0,30.0,137.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,59.550398823181695,0.332,0.291,0.333,0.283,0.292,0.242,0.25,0.183,0.643,0.585,0.208,0.151
64.0,100.0,64.0,100.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,20.155644370746373,41.0,112.0,41.0,112.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,32.23740063962974,42.0,58.0,42.0,58.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,27.28094573140748,14.0,119.0,14.0,119.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,54.150253923689036,29.0,126.0,29.0,126.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,50.172203459684724,42.0,130.0,42.0,130.0,0.172549024224281,0.172549024224281,0.049,0.00845490218698977,48.99234634103576,51.0,124.0,51.0,124.0,0.176470592617989,0.176470592617989,0.057,0.010058823779225373,41.608292442733095,0.325,0.259,0.367,0.301,0.308,0.233,0.242,0.192,0.484,0.426,0.242,0.193
60.0,103.0,60.0,103.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,21.360009363293827,37.0,98.0,37.0,98.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,23.005434140654682,48.0,58.0,48.0,58.0,0.172549024224281,0.172549024224281,0.05,0.008627451211214051,25.22399651125888,36.0,119.0,36.0,119.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,40.697051490249265,35.0,102.0,35.0,102.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,27.225906780123964,28.0,162.0,28.0,162.0,0.172549024224281,0.172549024224281,0.049,0.00845490218698977,83.64358911476718,43.0,139.0,43.0,139.0,0.15686275064945202,0.15686275064945202,0.024,0.0037647060155868483,57.56083738098326,0.291,0.225,0.417,0.367,0.284,0.234,0.25,0.192,0.542,0.484,0.325,0.276
56.0,95.0,56.0,95.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,12.658988901172163,45.0,78.0,45.0,78.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,10.062305898749054,69.0,42.0,69.0,42.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,43.188540146663904,48.0,125.0,48.0,125.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,42.921439864012015,31.0,126.0,31.0,126.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,49.20619879649311,43.0,98.0,43.0,98.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,19.00657780874821,54.0,113.0,54.0,113.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,30.5,0.292,0.226,0.408,0.35,0.309,0.251,0.258,0.192,0.476,0.409,0.25,0.184
42.0,103.0,42.0,103.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,23.753947040439407,45.0,87.0,45.0,87.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,10.062305898749054,47.0,79.0,47.0,79.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,7.826237921249264,53.0,106.0,53.0,106.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,23.521266972678152,54.0,108.0,54.0,108.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,25.5,55.0,87.0,55.0,87.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,4.6097722286464435,59.0,109.0,59.0,109.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,26.9675731203236,0.275,0.2,0.35,0.275,0.309,0.242,0.25,0.192,0.55,0.492,0.242,0.175
62.0,112.0,62.0,112.0,0.172549024224281,0.172549024224281,0.074,0.012768627792596793,30.56550343115585,51.0,127.0,51.0,127.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,44.60100895719737,43.0,98.0,43.0,98.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,19.00657780874821,34.0,132.0,34.0,132.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,53.387732673339855,63.0,157.0,63.0,157.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,75.04165509901817,69.0,121.0,69.0,121.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,41.31888188225814,56.0,122.0,56.0,122.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,39.5506005011302,0.267,0.193,0.375,0.309,0.3,0.234,0.275,0.209,0.467,0.409,0.233,0.15
40.0,84.0,40.0,84.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,14.080127840328723,56.0,84.0,56.0,84.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,2.5,67.0,62.0,67.0,62.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,24.27447218787671,54.0,102.0,54.0,102.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,19.5,23.0,132.0,23.0,132.0,0.176470592617989,0.176470592617989,0.057,0.010058823779225373,58.40590723548432,23.0,105.0,23.0,105.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,38.30469945058961,80.0,130.0,80.0,130.0,0.180392161011696,0.180392161011696,0.049,0.008839215889573104,54.150253923689036,0.242,0.176,0.417,0.351,0.291,0.225,0.276,0.209,0.466,0.409,0.276,0.201
49.0,114.0,49.0,114.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,31.894356867634123,42.0,65.0,42.0,65.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,21.219095173922945,67.0,60.0,67.0,60.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,25.985572920372565,56.0,112.0,56.0,112.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,29.567718883945037,46.0,129.0,46.0,129.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,47.18315377335432,71.0,117.0,71.0,117.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,38.46101922726437,60.0,140.0,60.0,140.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,57.812195945146385,0.242,0.175,0.434,0.359,0.292,0.226,0.25,0.192,0.442,0.384,0.225,0.15
37.0,84.0,37.0,84.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,17.066048165876012,59.0,106.0,59.0,106.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,24.026027553467927,46.0,81.0,46.0,81.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,8.139410298049853,44.0,139.0,44.0,139.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,57.378131722808824,44.0,125.0,44.0,125.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,43.660622991432454,61.0,104.0,61.0,104.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,22.610838109190027,89.0,76.0,89.0,76.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,35.59845502265512,0.267,0.209,0.376,0.318,0.266,0.2,0.276,0.209,0.467,0.418,0.217,0.151
46.0,93.0,46.0,93.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,13.200378782444085,50.0,95.0,50.0,95.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,13.124404748406688,64.0,85.0,64.0,85.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,10.307764064044152,56.0,108.0,56.0,108.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,25.578311124857326,30.0,126.0,30.0,126.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,49.681485485037584,33.0,133.0,33.0,133.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,54.69232121605372,69.0,128.0,69.0,128.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,47.90876746483883,0.258,0.2,0.401,0.343,0.283,0.225,0.251,0.184,0.45,0.392,0.217,0.151
