xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,xCoordPress8,yCoordPress8,xCoordRelease8,yCoordRelease8,pressPressure8,releasePressure8,holdTime8,HPP8,offSet8,xCoordPress9,yCoordPress9,xCoordRelease9,yCoordRelease9,pressPressure9,releasePressure9,holdTime9,HPP9,offSet9,xCoordPress10,yCoordPress10,xCoordRelease10,yCoordRelease10,pressPressure10,releasePressure10,holdTime10,HPP10,offSet10,xCoordPress11,yCoordPress11,xCoordRelease11,yCoordRelease11,pressPressure11,releasePressure11,holdTime11,HPP11,offSet11,xCoordPress12,yCoordPress12,xCoordRelease12,yCoordRelease12,pressPressure12,releasePressure12,holdTime12,HPP12,offSet12,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6,PPTime7,UDTime7,PPTime8,UDTime8,PPTime9,UDTime9,PPTime10,UDTime10,PPTime11,UDTime11
42.0,80.0,42.0,80.0,0.176470592617989,0.176470592617989,0.065,0.011470588520169286,12.257650672131263,64.0,102.0,64.0,102.0,0.176470592617989,0.176470592617989,0.084,0.014823529779911077,21.914607000811127,60.0,94.0,60.0,94.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,12.971121771072847,63.0,84.0,63.0,84.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,9.12414379544733,48.0,96.0,48.0,96.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,14.773286702694158,58.0,109.0,58.0,109.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,26.800186566514792,59.0,100.0,59.0,100.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,18.200274723201296,35.0,59.0,40.0,59.0,0.180392161011696,0.152941182255745,0.058,0.010462745338678369,27.35415873317986,85.0,95.0,85.0,95.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,33.425289826716536,37.0,119.0,37.0,119.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,40.26474885057648,37.0,93.0,37.0,93.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,19.981241202688086,43.0,68.0,43.0,68.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,18.200274723201296,61.0,69.0,61.0,69.0,0.172549024224281,0.172549024224281,0.041,0.007074509993195521,15.20690632574555,0.716,0.651,0.385,0.301,0.292,0.209,0.484,0.418,0.525,0.467,0.384,0.309,0.209,0.126,0.55,0.492,0.184,0.117,0.476,0.418,0.317,0.259,0.275,0.209
55.0,73.0,55.0,73.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,9.5524865872714,31.0,81.0,31.0,81.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,23.04886114323222,57.0,124.0,57.0,124.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,41.608292442733095,75.0,103.0,75.0,103.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,29.34706118165838,32.0,104.0,34.0,103.0,0.180392161011696,0.172549024224281,0.05,0.0090196080505848,28.64000698323937,78.0,109.0,78.0,109.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,35.75262228144951,46.0,98.0,46.0,98.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,17.44276354251241,48.0,81.0,51.878265380859396,81.0,0.180392161011696,0.137254908680916,0.05,0.0090196080505848,2.5984144769570006,82.0,93.0,82.0,93.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,29.90401310861136,50.0,94.0,50.0,94.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,12.175795661885921,61.0,98.0,61.0,98.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,17.00735135169495,32.0,87.0,32.0,87.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,22.45551157288562,47.0,60.0,47.0,60.0,0.172549024224281,0.172549024224281,0.041,0.007074509993195521,23.56374333589636,0.526,0.468,0.292,0.234,0.267,0.192,0.427,0.369,0.426,0.376,0.343,0.285,0.192,0.134,0.493,0.443,0.201,0.109,0.459,0.401,0.275,0.217,0.234,0.176
46.0,87.0,46.0,87.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,9.17877987534291,45.0,100.0,45.0,100.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,19.67866865415443,55.0,87.0,55.0,87.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,4.6097722286464435,96.0,89.0,96.0,89.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,42.5,36.0,89.0,36.0,89.0,0.176470592617989,0.176470592617989,0.059,0.01041176496446135,19.13765920900464,102.0,103.0,102.0,103.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,52.19434835305447,80.0,65.0,80.0,65.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,31.34086788842964,71.0,48.0,77.845703125,48.9779052734375,0.176470592617989,0.152941182255745,0.058,0.010235294371843362,41.13816223875666,99.0,94.0,99.0,94.0,0.176470592617989,0.176470592617989,0.084,0.014823529779911077,46.446205442425544,71.0,108.0,71.0,108.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,30.64718584144391,70.0,94.0,70.0,94.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,19.704060495238032,67.0,100.0,67.0,100.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,21.80022935659164,73.0,86.0,73.0,86.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,19.319679086361656,0.534,0.484,0.292,0.209,0.276,0.201,0.484,0.409,0.426,0.367,0.484,0.401,0.208,0.142,0.484,0.426,0.209,0.125,0.534,0.451,0.259,0.176,0.208,0.142
46.0,94.0,46.0,94.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,14.0089257261219,39.0,117.0,40.9609985351562,116.01953125,0.176470592617989,0.0941176563501358,0.091,0.016058823928236998,35.96629720196292,53.0,89.0,53.0,89.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,6.576473218982953,98.0,102.0,98.0,102.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,48.12743500333256,71.0,71.0,72.9368591308594,71.0,0.180392161011696,0.113725498318672,0.041,0.007396078601479537,22.155239419649998,75.0,96.0,75.0,96.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,24.964975465639856,45.0,84.0,45.0,84.0,0.180392161011696,0.180392161011696,0.049,0.008839215889573104,9.12414379544733,49.0,76.0,49.0,76.0,0.176470592617989,0.176470592617989,0.042,0.0074117648899555385,8.200609733428363,54.0,103.0,54.0,103.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,20.5,53.0,106.0,53.0,106.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,23.521266972678152,41.0,104.0,41.0,104.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,25.124689052802225,70.0,90.0,70.0,90.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,17.67059704707229,69.0,34.0,70.0,36.0,0.176470592617989,0.0901960805058479,0.058,0.010235294371843362,49.175705383857995,0.526,0.468,0.384,0.293,0.267,0.201,0.484,0.434,0.45,0.409,0.36,0.293,0.208,0.159,0.476,0.434,0.2,0.126,0.492,0.434,0.209,0.151,0.183,0.134
57.0,88.0,57.0,88.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,6.264982043070834,61.0,113.0,61.0,113.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,31.2929704566377,85.0,141.0,85.0,141.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,66.20611754211238,24.0,77.0,24.0,77.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,30.5,17.0,69.0,17.0,69.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,39.38591118661596,62.0,105.0,62.0,105.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,23.879907872519105,53.0,110.0,53.0,110.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,27.518175811634027,61.0,98.0,64.0,99.0,0.180392161011696,0.164705887436867,0.049,0.008839215889573104,19.29378138157474,77.0,99.0,77.0,99.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,28.30635970943632,74.0,110.0,74.0,110.0,0.180392161011696,0.180392161011696,0.084,0.015152941524982465,34.00367627183861,42.0,104.0,42.0,104.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,24.62214450449026,46.0,105.0,46.0,105.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,23.879907872519105,84.0,75.0,84.0,75.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,30.923292192132454,0.492,0.417,0.251,0.176,0.25,0.192,0.309,0.268,0.475,0.425,0.376,0.309,0.192,0.126,0.475,0.426,0.217,0.117,0.451,0.367,0.25,0.175,0.184,0.126
55.0,91.0,55.0,91.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,8.558621384311845,59.0,111.0,59.0,111.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,28.935272592460574,60.0,104.0,60.0,104.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,22.321514285549714,66.0,58.0,66.0,58.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,27.28094573140748,54.0,93.0,54.0,93.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,10.5,62.0,99.0,62.0,99.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,18.33712082089225,62.0,97.0,62.0,97.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,16.560495161679196,38.0,62.0,41.842193603515604,62.9605712890625,0.180392161011696,0.172549024224281,0.049,0.008839215889573104,23.01307303956179,82.0,102.0,82.0,102.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,34.121107836645635,52.0,112.0,52.0,112.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,29.567718883945037,40.0,120.0,40.0,120.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,40.02811511925087,42.0,106.0,42.0,106.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,26.386549603917523,82.0,66.0,82.0,66.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,32.5,0.484,0.417,0.476,0.401,0.226,0.168,0.367,0.318,0.476,0.41,0.367,0.301,0.184,0.126,0.542,0.493,0.192,0.109,0.509,0.426,0.225,0.175,0.184,0.126
64.0,97.0,64.0,97.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,17.613914953808536,36.0,107.0,36.0,107.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,30.401480227120523,79.0,103.0,79.0,103.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,32.33032632065442,101.0,73.0,101.0,73.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,47.95049530505394,58.0,81.0,58.0,81.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,4.272001872658765,75.0,85.0,75.0,85.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,21.1482859825566,60.0,104.0,60.0,104.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,22.321514285549714,59.0,90.0,63.8386077880859,90.9677734375,0.180392161011696,0.14509804546833,0.05,0.0090196080505848,12.98080853400955,69.0,106.0,69.0,106.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,27.879203718901298,64.0,115.0,64.0,115.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,34.00367627183861,37.0,90.0,37.0,90.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,18.580904176062045,53.0,91.0,53.0,91.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,8.558621384311845,70.0,76.0,70.0,76.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,17.269916039170543,0.501,0.451,0.484,0.401,0.283,0.209,0.409,0.351,0.593,0.518,0.35,0.292,0.2,0.125,0.543,0.493,0.225,0.151,0.434,0.36,0.242,0.176,0.208,0.15
54.0,76.0,54.0,76.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,6.5,57.0,92.0,63.0,94.0,0.180392161011696,0.0823529437184334,0.092,0.01659607881307603,14.603081866510234,70.0,81.0,70.0,81.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,16.070158679988197,101.0,58.0,101.0,58.0,0.176470592617989,0.176470592617989,0.042,0.0074117648899555385,53.002358438092166,72.0,79.0,72.0,79.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,18.33712082089225,58.0,115.0,58.0,115.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,32.745228660065884,46.0,108.0,46.0,108.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,26.725456029785533,62.0,98.0,70.9053649902344,98.8436279296875,0.176470592617989,0.14117647707462302,0.049,0.008647059038281462,23.513943509269225,79.0,93.0,79.0,93.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,27.115493725912497,45.0,147.0,45.0,147.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,65.12488003827723,18.0,85.0,18.0,85.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,36.08670115153226,52.0,97.0,52.0,97.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,14.637281168304447,97.0,69.0,97.0,69.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,45.069390943299865,0.475,0.417,0.292,0.2,0.292,0.225,0.351,0.309,0.459,0.409,0.375,0.309,0.201,0.143,0.509,0.46,0.183,0.108,0.426,0.359,0.25,0.192,0.176,0.109
63.0,84.0,63.0,84.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,9.12414379544733,37.0,94.0,37.0,94.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,20.524375751773793,49.0,92.0,49.0,92.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,10.735455276791944,56.0,77.0,56.0,77.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,5.852349955359813,30.0,94.0,30.0,94.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,26.612966764342527,45.0,79.0,45.0,79.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,9.656603957913983,66.0,103.0,66.0,103.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,23.753947040439407,50.0,93.0,50.0,93.0,0.176470592617989,0.176470592617989,0.042,0.0074117648899555385,11.236102527122116,57.0,80.0,57.0,80.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,3.905124837953327,63.0,135.0,63.0,135.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,53.26584271369411,60.0,97.0,60.0,97.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,15.692354826475215,87.0,97.0,87.0,97.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,36.04511062543712,69.0,73.0,69.0,73.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,17.755280904564703,0.584,0.509,0.3,0.234,0.259,0.201,0.342,0.292,0.467,0.409,0.326,0.259,0.225,0.134,0.434,0.392,0.2,0.125,0.434,0.359,0.234,0.151,0.209,0.159
62.0,68.0,62.0,68.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,16.560495161679196,56.0,96.0,56.0,96.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,13.647344063956181,56.0,93.0,56.0,93.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,10.688779163215974,61.0,89.0,61.0,89.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,9.5524865872714,66.0,116.0,69.0,117.0,0.180392161011696,0.15686275064945202,0.058,0.010462745338678369,37.61980861195336,59.0,104.0,59.0,104.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,22.073740054644116,61.0,118.0,61.0,118.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,36.18355980276125,51.0,102.0,51.0,102.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,19.72941965694886,62.0,94.0,62.0,94.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,14.0089257261219,58.0,97.0,58.0,97.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,15.041608956491324,53.0,100.0,53.0,100.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,17.528548142958105,45.0,108.0,45.0,108.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,27.04163456597992,68.0,85.0,68.0,85.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,14.221462653327892,0.601,0.535,0.275,0.184,0.259,0.193,0.35,0.292,0.492,0.434,0.326,0.268,0.209,0.134,0.468,0.418,0.25,0.167,0.493,0.435,0.233,0.167,0.2,0.133
