xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,xCoordPress8,yCoordPress8,xCoordRelease8,yCoordRelease8,pressPressure8,releasePressure8,holdTime8,HPP8,offSet8,xCoordPress9,yCoordPress9,xCoordRelease9,yCoordRelease9,pressPressure9,releasePressure9,holdTime9,HPP9,offSet9,xCoordPress10,yCoordPress10,xCoordRelease10,yCoordRelease10,pressPressure10,releasePressure10,holdTime10,HPP10,offSet10,xCoordPress11,yCoordPress11,xCoordRelease11,yCoordRelease11,pressPressure11,releasePressure11,holdTime11,HPP11,offSet11,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6,PPTime7,UDTime7,PPTime8,UDTime8,PPTime9,UDTime9,PPTime10,UDTime10
69.0,89.0,69.0,89.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,16.347782724271816,61.0,73.0,61.0,73.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,11.800423721205947,74.0,52.0,59.0,56.0,0.168627455830574,0.11764706671237898,0.1,0.016862745583057403,26.9675731203236,83.0,108.0,83.0,108.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,38.616706229299254,73.0,62.0,73.0,62.0,0.172549024224281,0.172549024224281,0.049,0.00845490218698977,27.95084971874737,84.0,102.0,84.0,106.0,0.172549024224281,0.152941182255745,0.058,0.010007843405008298,38.108398024582456,71.0,92.0,71.0,92.0,0.172549024224281,0.172549024224281,0.041,0.007074509993195521,19.474342094150447,43.0,94.0,43.0,94.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,15.913830462839549,67.0,89.0,67.0,89.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,14.534441853748634,45.0,96.0,45.0,96.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,16.224980739587952,54.0,111.0,54.0,111.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,28.5,92.0,76.0,92.0,76.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,38.55191305240247,1.051,1.01,0.325,0.259,0.367,0.267,0.301,0.218,0.267,0.218,0.192,0.134,0.451,0.41,0.801,0.743,0.593,0.544,0.175,0.109,0.325,0.284
36.0,78.0,36.0,78.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,18.553975315279473,59.0,93.0,59.0,93.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,11.629703349613008,65.0,78.0,65.0,78.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,11.884864324004713,105.0,106.0,105.0,106.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,56.15380663855301,82.0,80.0,82.0,80.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,28.111385593741193,96.0,93.0,96.0,96.0,0.176470592617989,0.125490203499794,0.058,0.010235294371843362,44.11632350955823,70.0,106.0,70.0,106.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,28.429737951659,60.0,74.0,60.0,74.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,10.404326023342406,76.0,79.0,76.0,79.0,0.176470592617989,0.176470592617989,0.042,0.0074117648899555385,22.276669409945463,53.0,96.0,53.0,96.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,13.536986370680884,25.0,101.0,25.0,101.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,34.39840112563373,82.0,81.0,82.0,81.0,0.176470592617989,0.176470592617989,0.057,0.010058823779225373,28.040149785619906,0.442,0.392,0.334,0.259,0.317,0.242,0.293,0.226,0.3,0.234,0.176,0.118,0.35,0.284,0.317,0.251,0.417,0.375,0.15,0.075,0.335,0.285
91.0,111.0,91.0,111.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,46.703854230673514,58.0,78.0,57.0,85.6649169921875,0.176470592617989,0.10196079313755,0.091,0.016058823928236998,4.36081409457422,53.0,113.0,53.0,113.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,30.516389039334257,94.0,85.0,94.0,85.0,0.172549024224281,0.172549024224281,0.071,0.01225098071992395,40.078048854703496,42.0,80.0,42.0,80.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,12.257650672131263,49.0,112.0,49.0,114.92626953125,0.176470592617989,0.125490203499794,0.066,0.011647059112787276,32.809494901830966,46.0,129.0,46.0,129.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,47.18315377335432,67.0,68.0,67.0,68.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,19.474342094150447,58.0,69.0,58.0,69.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,14.080127840328723,70.0,108.0,70.0,108.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,30.103986446980738,13.0,107.0,13.0,107.0,0.176470592617989,0.176470592617989,0.032,0.005647058963775649,47.762432936357,79.0,77.0,79.0,77.0,0.180392161011696,0.180392161011696,0.049,0.008839215889573104,25.59785147234041,0.676,0.627,0.342,0.251,0.467,0.401,0.234,0.163,0.217,0.159,0.184,0.118,0.317,0.268,0.317,0.268,0.4,0.351,0.176,0.109,0.334,0.302
77.0,87.0,77.0,87.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,23.43608329051593,56.0,76.0,59.7418823242187,86.2255859375,0.172549024224281,0.10196079313755,0.075,0.012941176816821075,6.844647777853357,68.0,102.0,68.0,102.0,0.172549024224281,0.172549024224281,0.074,0.012768627792596793,24.005207768315607,105.0,132.0,105.0,134.958984375,0.176470592617989,0.109803929924965,0.075,0.013235294446349175,73.1638233121841,67.0,94.0,67.9859619140625,91.0421142578125,0.176470592617989,0.105882361531258,0.067,0.011823529705405265,16.388253313124324,87.0,101.0,87.0,107.0,0.176470592617989,0.11764706671237898,0.066,0.011647059112787276,41.100486615124154,62.0,132.0,62.0,132.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,50.1422975141746,84.0,94.0,84.0,94.0,0.176470592617989,0.176470592617989,0.057,0.010058823779225373,32.12864765283469,88.0,68.0,88.0,68.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,36.96281915655244,67.0,86.0,67.0,86.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,13.46291201783626,65.0,126.0,65.0,126.0,0.176470592617989,0.176470592617989,0.042,0.0074117648899555385,44.86925450684466,94.0,81.0,94.0,81.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,40.02811511925087,0.459,0.393,0.251,0.176,0.25,0.176,0.225,0.15,0.226,0.159,0.183,0.117,0.368,0.318,0.283,0.226,0.526,0.476,0.15,0.092,0.376,0.334
72.0,107.0,72.0,107.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,30.401480227120523,69.0,88.0,69.0,88.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,15.976545308670458,58.0,79.0,58.0,79.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,5.315072906367325,55.0,90.0,55.0,90.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,7.566372975210778,71.0,75.0,71.0,75.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,18.580904176062045,77.0,135.0,77.0,135.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,57.31710041514661,54.0,118.0,54.0,118.0,0.172549024224281,0.172549024224281,0.049,0.00845490218698977,35.5,71.0,132.0,71.0,132.0,0.176470592617989,0.176470592617989,0.042,0.0074117648899555385,52.33784481615574,82.0,81.0,82.0,81.0,0.176470592617989,0.176470592617989,0.042,0.0074117648899555385,28.040149785619906,72.0,80.0,72.0,80.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,18.172781845386247,38.0,99.0,38.0,99.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,22.983689869122408,100.0,108.0,100.0,108.0,0.180392161011696,0.180392161011696,0.049,0.008839215889573104,52.59515186782903,0.901,0.851,0.802,0.735,0.325,0.259,0.292,0.225,0.301,0.226,0.209,0.143,0.375,0.326,0.317,0.275,0.468,0.426,0.167,0.109,0.351,0.31
73.0,80.0,73.0,80.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,19.1637678967368,44.0,99.0,44.0,99.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,19.29378138157474,61.0,92.0,61.0,92.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,11.800423721205947,97.0,85.0,95.0450439453125,88.909912109375,0.176470592617989,0.105882361531258,0.057,0.010058823779225373,41.54253971199338,64.0,122.0,64.0,122.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,40.74616546375867,59.0,116.0,59.0,116.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,33.8710791088799,60.0,105.0,60.0,105.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,23.286262044390035,104.0,90.0,104.0,90.0,0.176470592617989,0.176470592617989,0.042,0.0074117648899555385,50.55937104039171,76.0,74.0,76.0,74.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,23.58495283014151,57.0,88.0,57.0,88.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,6.264982043070834,44.0,106.0,44.0,106.0,0.176470592617989,0.176470592617989,0.042,0.0074117648899555385,25.53918557824427,75.0,108.0,75.0,108.0,0.180392161011696,0.180392161011696,0.041,0.007396078601479537,33.03407331831786,0.81,0.76,0.342,0.276,0.293,0.218,0.3,0.243,0.25,0.192,0.217,0.159,0.384,0.326,0.301,0.259,0.459,0.41,0.15,0.092,0.368,0.326
51.0,106.0,51.0,106.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,23.69071548096427,46.0,88.0,45.0,91.0,0.176470592617989,0.172549024224281,0.058,0.010235294371843362,12.379418403139947,66.0,83.0,66.0,83.0,0.172549024224281,0.172549024224281,0.074,0.012768627792596793,12.010412149464313,77.0,95.0,77.0,95.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,26.177280225416848,75.0,85.0,75.0,85.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,21.1482859825566,71.0,100.0,71.0,100.0,0.172549024224281,0.172549024224281,0.057,0.009835294380784019,24.397745797511703,62.0,128.0,62.0,128.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,46.19794367718113,82.0,89.0,82.0,89.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,28.74456470360962,98.0,68.0,98.0,68.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,46.32763753959401,61.0,101.0,61.0,101.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,19.78004044485248,57.0,110.0,57.0,110.0,0.172549024224281,0.172549024224281,0.059,0.010180392429232578,27.663152387246107,69.0,96.0,69.0,96.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,20.180436070610565,0.626,0.576,0.318,0.26,0.376,0.302,0.367,0.292,0.335,0.268,0.275,0.218,0.434,0.376,0.359,0.309,0.526,0.477,0.166,0.108,0.485,0.426
73.0,93.0,73.0,93.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,21.70829334609241,67.0,88.0,67.0,88.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,14.115594213493104,58.0,98.0,58.0,98.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,16.00781059358212,81.0,75.0,81.0,75.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,28.02231253840411,69.0,83.0,69.0,83.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,15.008331019803634,83.0,112.0,83.0,112.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,41.36725758374611,59.0,108.0,59.0,108.0,0.172549024224281,0.172549024224281,0.049,0.00845490218698977,25.985572920372565,80.0,121.0,80.0,121.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,46.45696933722647,82.0,100.0,82.0,100.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,33.01893396219811,52.0,107.0,52.0,107.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,24.58149710656371,52.0,114.0,52.0,114.0,0.172549024224281,0.172549024224281,0.041,0.007074509993195521,31.56342820417326,68.0,122.0,68.0,122.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,41.907636535600524,0.626,0.585,0.342,0.275,0.376,0.318,0.293,0.218,0.292,0.226,0.217,0.159,0.375,0.326,0.393,0.335,0.751,0.685,0.192,0.134,0.768,0.727
66.0,101.0,66.0,101.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,22.051077071199945,64.0,100.0,64.0,100.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,20.155644370746373,61.0,85.0,61.0,85.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,7.433034373659253,67.0,88.0,67.0,88.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,14.115594213493104,80.0,68.0,80.0,68.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,29.769951293208393,82.0,101.0,82.0,101.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,33.55964838909967,52.0,102.0,52.0,102.0,0.172549024224281,0.172549024224281,0.05,0.008627451211214051,19.60229578391266,67.0,96.0,67.0,96.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,18.741664813991314,61.0,76.0,61.0,76.0,0.172549024224281,0.172549024224281,0.042,0.007247059017419803,9.5524865872714,54.0,86.0,54.0,86.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,3.5,39.0,111.0,39.0,111.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,32.20636583037583,68.0,97.0,68.0,97.0,0.172549024224281,0.172549024224281,0.042,0.007247059017419803,20.155644370746373,0.818,0.76,0.493,0.418,0.35,0.301,0.309,0.251,0.317,0.251,0.242,0.175,0.451,0.401,0.325,0.284,0.593,0.551,0.167,0.109,0.843,0.793
83.0,103.0,83.0,103.0,0.176470592617989,0.176470592617989,0.042,0.0074117648899555385,35.51408171415952,46.0,113.0,46.0,113.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,31.531730050855124,53.0,85.0,53.0,85.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,2.692582403567252,82.0,85.0,82.0,85.0,0.172549024224281,0.172549024224281,0.074,0.012768627792596793,28.111385593741193,47.0,89.0,47.0,89.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,9.5524865872714,76.0,122.0,76.0,122.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,45.2133829745132,57.0,116.0,57.0,116.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,33.63406011768428,74.0,117.0,74.0,117.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,39.87793876318083,76.0,106.0,76.0,106.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,32.190837205639745,59.0,55.0,59.0,55.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,27.95084971874737,85.0,97.0,85.0,97.0,0.172549024224281,0.172549024224281,0.049,0.00845490218698977,34.2235299172952,61.0,102.0,61.0,102.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,20.71834935510066,0.785,0.743,0.325,0.259,0.301,0.234,0.317,0.243,0.3,0.242,0.217,0.15,0.418,0.36,0.392,0.343,1.787,1.737,0.284,0.217,0.843,0.794
