xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,Tri0,Tri1,Tri2,Tri3
139.0,118.0,139.0,118.0,0.180392161011696,0.180392161011696,0.082,0.014792157202959073,14.916433890176299,57.0,148.0,57.0,148.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,73.42002451647643,132.0,167.0,132.0,167.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,39.75550276376844,108.0,151.0,108.0,151.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,30.53686296920494,137.0,124.0,137.0,124.0,0.18823531270027202,0.18823531270027202,0.082,0.015435295641422306,10.124228365658293,154.0,130.0,154.0,130.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,26.61766330841233,0.232,0.15,0.334,0.226,0.594,0.486,0.234,0.135,0.233,0.151,0.674,1.027,0.91,0.542
168.0,96.0,168.0,96.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,51.30789412946121,62.0,120.0,62.0,120.0,0.172549024224281,0.172549024224281,0.125,0.021568628028035126,65.92799102050661,103.0,142.0,103.0,142.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,28.469281690973517,117.0,161.0,117.0,161.0,0.18431372940540303,0.18431372940540303,0.116,0.02138039261102675,35.106979363083916,123.0,151.0,123.0,151.0,0.19607844948768602,0.19607844948768602,0.091,0.017843138903379428,23.926972228010797,158.0,157.0,158.0,157.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,42.432299018554254,0.216,0.125,0.342,0.217,0.327,0.235,0.217,0.101,0.276,0.185,0.65,0.785,0.635,0.542
155.0,115.0,155.0,115.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,30.20761493398643,117.0,173.0,117.0,173.0,0.18431372940540303,0.18431372940540303,0.125,0.02303921617567538,46.69582422444217,66.0,137.0,66.0,137.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,62.22941426688829,147.0,217.0,138.0,217.0,0.180392161011696,0.164705887436867,0.116,0.020925490677356738,90.11381692060324,144.0,106.0,144.0,106.0,0.18823531270027202,0.18823531270027202,0.099,0.018635295957326933,27.101660465735304,164.0,123.0,164.0,123.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,36.776351096866584,0.242,0.159,0.325,0.2,0.368,0.268,0.259,0.143,0.3,0.201,0.667,0.809,0.726,0.634
170.0,116.0,170.0,116.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,44.02839992550263,94.0,131.0,94.0,131.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,33.68233958619858,157.0,73.0,157.0,73.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,61.97176776565277,155.0,196.0,155.0,196.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,73.81395532011545,136.0,97.0,136.0,97.0,0.180392161011696,0.180392161011696,0.125,0.022549020126462,31.662280397975127,169.0,130.0,169.0,130.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,41.57523301197481,0.267,0.159,0.267,0.167,0.317,0.217,0.234,0.134,0.309,0.184,0.634,0.684,0.676,0.651
182.0,103.0,182.0,103.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,59.75366097570926,82.0,146.0,82.0,146.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,49.11720676097125,99.0,138.0,99.0,138.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,30.37268509697488,106.0,138.0,106.0,138.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,23.926972228010797,154.0,82.0,154.0,82.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,52.65453446760307,155.0,148.0,155.0,148.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,34.30014577228499,0.418,0.31,0.3,0.201,0.342,0.251,0.234,0.134,0.325,0.225,0.809,0.742,0.676,0.609
181.0,83.0,181.0,83.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,69.58807369082723,112.0,125.0,112.0,125.0,0.18431372940540303,0.18431372940540303,0.124,0.022854902446269976,15.700318468107582,141.0,122.0,141.0,122.0,0.18431372940540303,0.18431372940540303,0.117,0.021564706340432154,14.577379737113251,132.0,153.0,132.0,153.0,0.18431372940540303,0.18431372940540303,0.116,0.02138039261102675,25.894014752448104,145.0,109.0,145.0,109.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,25.465663156493687,163.0,132.0,163.0,132.0,0.176470592617989,0.176470592617989,0.059,0.01041176496446135,35.78407467016578,0.201,0.109,0.283,0.159,0.309,0.192,0.234,0.118,0.283,0.2,0.601,0.708,0.626,0.576
167.0,142.0,167.0,142.0,0.180392161011696,0.180392161011696,0.117,0.021105882838368433,42.07730979993849,91.0,142.0,88.0,147.0,0.18823531270027202,0.15686275064945202,0.141,0.026541179090738352,44.05110668303352,118.0,189.0,118.0,189.0,0.18823531270027202,0.18823531270027202,0.125,0.023529414087534003,62.22941426688829,146.0,173.0,146.0,173.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,49.11720676097125,113.0,131.0,113.0,131.0,0.19215688109397897,0.19215688109397897,0.075,0.014411766082048421,14.916433890176299,154.0,125.0,154.0,125.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,26.61766330841233,0.25,0.133,0.267,0.126,0.342,0.217,0.276,0.168,0.242,0.167,0.642,0.717,0.693,0.593
158.0,111.0,158.0,111.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,34.677081768799404,87.0,146.0,87.0,146.0,0.180392161011696,0.180392161011696,0.134,0.024172549575567265,44.52527372178637,121.0,104.0,121.0,104.0,0.18823531270027202,0.18823531270027202,0.15,0.028235296905040803,24.38237068047322,109.0,157.0,109.0,157.0,0.18823531270027202,0.18823531270027202,0.125,0.023529414087534003,34.8209706929603,167.0,162.0,167.0,162.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,52.44520950477746,172.0,176.0,172.0,176.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,65.82172893505609,0.25,0.142,0.292,0.158,0.326,0.176,0.209,0.084,0.284,0.184,0.692,0.743,0.635,0.551
185.0,105.0,185.0,105.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,61.74544517614235,85.0,131.0,85.0,131.0,0.180392161011696,0.180392161011696,0.15,0.0270588241517544,42.64387412044079,124.0,121.0,120.052368164063,121.0,0.18431372940540303,0.121568635106087,0.125,0.02303921617567538,9.885202069945883,75.0,158.0,75.0,158.0,0.18431372940540303,0.18431372940540303,0.158,0.029121569246053677,60.71655457945551,155.0,113.0,155.0,113.0,0.19215688109397897,0.19215688109397897,0.075,0.014411766082048421,31.088583113419627,179.0,155.0,179.0,155.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,58.382360349680965,0.217,0.109,0.301,0.151,0.3,0.175,0.217,0.059,0.276,0.201,0.643,0.759,0.592,0.559
138.0,93.0,138.0,93.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,36.062445840513924,58.0,96.0,58.0,96.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,76.3053078101386,130.0,110.0,126.035034179688,110.0,0.18823531270027202,0.176470592617989,0.159,0.029929414719343253,17.561210802637795,108.0,156.0,108.0,156.0,0.18431372940540303,0.18431372940540303,0.141,0.025988235846161823,34.532593299664015,166.0,98.0,166.0,98.0,0.19607844948768602,0.19607844948768602,0.091,0.017843138903379428,48.5025772511111,181.0,147.0,181.0,147.0,0.18431372940540303,0.18431372940540303,0.092,0.01695686310529708,56.94295391003175,0.259,0.176,0.283,0.175,0.376,0.217,0.259,0.118,0.325,0.234,0.701,0.8,0.726,0.676
