xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,Tri0,Tri1,Tri2,Tri3
146.0,158.0,146.0,158.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,35.67211796347394,159.0,161.0,159.0,161.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,45.98369276167367,187.0,64.0,187.0,64.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,87.02011261771614,116.0,172.0,116.0,172.0,0.18431372940540303,0.18431372940540303,0.092,0.01695686310529708,45.96194077712559,136.0,193.0,136.0,193.0,0.18823531270027202,0.18823531270027202,0.109,0.02051764908432965,66.04922406811453,144.0,133.0,144.0,133.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,17.392527130926087,0.258,0.175,0.259,0.193,0.258,0.159,0.192,0.1,0.167,0.058,0.616,0.609,0.559,0.425
155.0,201.0,155.0,201.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,78.47611101475404,132.0,188.0,131.0,190.0,0.18431372940540303,0.172549024224281,0.066,0.0121647061407566,62.59792328823697,207.0,74.0,206.016418457031,70.0655517578125,0.180392161011696,0.160784319043159,0.091,0.016415686652064335,97.28074738715833,149.0,164.0,149.0,164.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,42.36153915995027,127.0,165.0,127.0,165.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,37.50333318519835,149.0,147.0,149.0,147.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,29.025850547399983,0.276,0.193,0.25,0.184,0.234,0.143,0.192,0.109,0.158,0.067,0.617,0.567,0.517,0.417
138.0,177.0,138.0,177.0,0.19607844948768602,0.19607844948768602,0.083,0.01627451130747794,50.601383380299005,128.0,220.0,128.0,220.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,92.50135134148042,203.0,72.0,203.0,72.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,93.70432220554183,149.0,153.0,149.0,153.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,33.354160160315836,111.0,152.0,111.0,152.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,29.53811097548386,163.0,151.0,163.0,151.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,42.573465914816005,0.225,0.142,0.242,0.184,0.651,0.551,0.217,0.143,0.183,0.092,0.567,0.967,0.959,0.483
126.0,163.0,126.0,163.0,0.19215688109397897,0.19215688109397897,0.1,0.0192156881093979,35.531676008879735,136.0,170.0,136.0,170.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,43.34166586553867,199.0,80.0,199.0,80.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,85.83996738116808,161.0,188.0,161.0,188.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,69.15562160808042,98.0,159.0,98.0,159.0,0.19215688109397897,0.19215688109397897,0.091,0.017486276179552087,43.15669125408017,139.0,127.0,139.0,127.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,11.510864433221338,0.301,0.201,0.4,0.317,0.276,0.184,0.217,0.134,0.175,0.084,0.793,0.759,0.584,0.458
129.0,154.0,123.542022705078,154.0,0.19215688109397897,0.172549024224281,0.083,0.015949021130800253,26.793946784061472,148.0,179.0,148.0,179.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,55.43013620766234,223.0,87.0,223.0,87.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,103.73282990451962,129.0,148.0,129.0,148.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,20.554804791094465,110.0,161.0,110.0,161.0,0.20000001788139302,0.20000001788139302,0.108,0.021600001931190445,37.795502377928514,161.0,82.0,161.0,82.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,56.50221234606659,0.225,0.142,0.251,0.201,0.25,0.151,0.209,0.126,0.183,0.075,0.575,0.584,0.567,0.467
113.0,154.0,113.0,154.0,0.19607844948768602,0.19607844948768602,0.1,0.019607844948768605,30.20761493398643,153.0,166.0,151.0,176.0,0.19215688109397897,0.172549024224281,0.083,0.015949021130800253,53.89341332667657,217.0,86.0,217.0,86.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,98.65343379730885,126.0,163.0,126.0,163.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,35.531676008879735,110.0,198.0,110.0,198.0,0.19607844948768602,0.19607844948768602,0.116,0.02274510014057158,72.63952092353033,151.0,119.0,151.0,119.0,0.176470592617989,0.176470592617989,0.059,0.01041176496446135,24.9899979991996,0.184,0.084,0.258,0.175,0.218,0.143,0.167,0.084,0.174,0.058,0.517,0.559,0.501,0.4
121.0,163.0,121.0,163.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,36.09016486523718,197.0,183.0,197.0,183.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,88.94099167425557,205.0,70.0,201.0,45.0,0.180392161011696,0.160784319043159,0.108,0.019482353389263168,110.49208116421738,125.0,154.0,125.0,154.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,26.61766330841233,123.0,183.0,123.0,183.0,0.19607844948768602,0.19607844948768602,0.092,0.018039217352867114,55.682133579811754,145.0,121.0,145.0,121.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,18.66815470259447,0.183,0.092,0.301,0.218,0.225,0.117,0.184,0.101,0.158,0.066,0.592,0.609,0.501,0.392
97.0,155.0,93.07327270507808,154.018310546875,0.203921586275101,0.176470592617989,0.091,0.01855686435103419,43.45595869957794,148.0,164.0,148.0,164.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,41.862871377868956,219.0,108.0,217.02966308593702,103.074096679688,0.180392161011696,0.125490203499794,0.108,0.019482353389263168,92.80186057022037,102.0,169.0,102.0,169.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,48.708315511830214,86.0,162.0,86.0,162.0,0.20000001788139302,0.20000001788139302,0.099,0.01980000177025791,53.96758286230726,134.0,99.0,134.0,99.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,29.231831964486933,0.183,0.092,0.267,0.192,0.251,0.143,0.209,0.126,0.141,0.042,0.558,0.601,0.559,0.433
109.0,166.0,109.0,166.0,0.19215688109397897,0.19215688109397897,0.083,0.015949021130800253,42.714166268347086,128.0,166.0,128.0,166.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,38.50324661635691,212.0,87.0,212.0,87.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,93.70432220554183,101.0,220.0,101.0,220.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,96.2210995572177,100.0,180.0,100.0,180.0,0.19215688109397897,0.19215688109397897,0.074,0.014219609200954443,59.26634795564849,162.0,165.0,162.0,165.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,50.95586325438909,0.208,0.125,0.267,0.192,0.234,0.142,0.226,0.126,0.183,0.109,0.567,0.601,0.534,0.484
127.0,166.0,127.0,166.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,38.50324661635691,111.0,149.0,111.0,150.939880371094,0.19215688109397897,0.176470592617989,0.074,0.014219609200954443,28.664926160923528,221.0,107.0,219.049255371094,102.123168945312,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,95.00131427185606,119.0,150.0,119.0,150.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,24.052026941611388,102.0,172.0,102.0,172.0,0.19607844948768602,0.19607844948768602,0.083,0.01627451130747794,51.288400248009296,147.0,144.0,147.0,144.0,0.176470592617989,0.176470592617989,0.076,0.013411765038967164,25.544079548889602,0.234,0.151,0.258,0.184,0.226,0.143,0.209,0.134,0.149,0.066,0.575,0.559,0.518,0.434
