xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,Tri0,Tri1,Tri2,Tri3
138.0,141.0,138.0,141.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,17.10263137648707,111.0,131.0,111.0,131.0,0.18431372940540303,0.18431372940540303,0.082,0.015113725811243048,16.867127793433,84.0,173.0,84.0,173.0,0.18823531270027202,0.18823531270027202,0.059,0.011105883449316048,62.94839156007086,135.0,108.0,135.0,108.0,0.180392161011696,0.180392161011696,0.041,0.007396078601479537,20.89258241577618,131.0,109.0,131.0,109.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,18.828170383762732,84.0,196.0,84.0,196.0,0.19607844948768602,0.19607844948768602,0.066,0.012941177666187277,81.14493206602616,0.083,0.0,0.191,0.109,0.067,0.008,0.125,0.084,0.1,0.034,0.333,0.299,0.258,0.291
185.0,134.0,185.0,134.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,57.86622503671723,106.0,161.0,106.0,161.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,39.805778474990284,91.0,193.0,91.0,193.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,74.98333148106984,132.0,146.0,132.0,146.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,19.03943276465977,142.0,155.0,142.0,155.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,31.088583113419627,81.0,172.0,81.0,172.0,0.19215688109397897,0.19215688109397897,0.067,0.012874511033296591,64.3622560201241,0.167,0.101,0.142,0.076,0.083,0.042,0.142,0.092,0.133,0.075,0.35,0.275,0.283,0.342
185.0,157.0,185.0,157.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,64.62584622269948,99.0,182.0,99.0,182.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,61.50203248673982,118.0,181.0,118.0,181.0,0.180392161011696,0.180392161011696,0.041,0.007396078601479537,54.33691194758863,122.0,164.0,122.0,164.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,36.9120576505835,134.0,153.0,134.0,153.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,26.315394733881533,69.0,171.0,69.0,171.0,0.19215688109397897,0.19215688109397897,0.05,0.00960784405469895,72.9006172813372,0.175,0.1,0.117,0.05,0.083,0.042,0.167,0.101,0.1,0.042,0.333,0.266,0.308,0.317
189.0,166.0,189.0,166.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,72.55687424358908,83.0,164.0,83.0,164.0,0.18823531270027202,0.18823531270027202,0.067,0.012611765950918227,57.554322166106694,66.0,195.0,66.0,195.0,0.172549024224281,0.172549024224281,0.025,0.0043137256056070255,91.31538753134654,160.0,142.0,160.0,142.0,0.180392161011696,0.180392161011696,0.049,0.008839215889573104,35.58791929854849,169.0,161.0,169.0,161.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,53.33385416412356,109.0,181.0,109.0,181.0,0.19215688109397897,0.19215688109397897,0.058,0.011145099103450781,56.60830327787612,0.175,0.109,0.158,0.091,0.084,0.059,0.2,0.151,0.175,0.109,0.358,0.291,0.35,0.433
191.0,142.0,191.0,142.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,65.13447627792827,113.0,173.0,113.0,173.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,47.75458093209488,125.0,158.0,125.0,158.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,30.602287496198713,132.0,162.0,132.0,162.0,0.180392161011696,0.180392161011696,0.041,0.007396078601479537,34.792240514229604,124.0,157.0,124.0,157.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,29.706901555025897,63.0,153.0,63.0,153.0,0.20000001788139302,0.20000001788139302,0.058,0.011600001037120795,69.35776813018136,0.167,0.101,0.125,0.059,0.1,0.042,0.133,0.092,0.117,0.067,0.35,0.266,0.283,0.308
176.0,147.0,176.0,147.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,52.2733201547405,106.0,153.0,106.0,153.0,0.18823531270027202,0.18823531270027202,0.074,0.01392941313982013,33.354160160315836,113.0,241.0,113.0,241.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,114.42246282963848,135.0,168.0,135.0,168.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,41.188590653237945,148.0,174.0,148.0,174.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,50.81830378908765,75.0,227.0,75.0,227.0,0.20000001788139302,0.20000001788139302,0.067,0.013400001198053332,112.50111110562419,0.184,0.109,0.133,0.059,0.108,0.033,0.142,0.076,0.25,0.184,0.392,0.307,0.316,0.459
216.0,166.0,216.0,166.0,0.18823531270027202,0.18823531270027202,0.074,0.01392941313982013,96.51165732697787,123.0,168.0,123.0,168.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,40.749233121618374,136.0,196.0,136.0,196.0,0.19215688109397897,0.19215688109397897,0.067,0.012874511033296591,69.0253576593414,126.0,171.0,126.0,171.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,43.52585438564073,135.0,169.0,135.0,169.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,42.172265767919086,110.0,177.0,110.0,177.0,0.203921586275101,0.203921586275101,0.074,0.015090197384357474,52.502380898393554,0.183,0.109,0.133,0.05,0.1,0.033,0.142,0.084,0.101,0.043,0.383,0.291,0.3,0.317
197.0,147.0,199.0,144.0,0.18823531270027202,0.11764706671237898,0.075,0.014117648452520401,73.37915235269483,113.0,161.0,113.0,161.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,36.50342449688796,122.0,137.0,122.0,137.0,0.19215688109397897,0.19215688109397897,0.066,0.012682354152202611,10.977249200050075,127.0,169.0,127.0,169.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,41.50301193889427,141.0,165.0,141.0,165.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,39.85599076675927,75.0,150.0,75.0,150.0,0.20000001788139302,0.20000001788139302,0.074,0.014800001323223082,57.118298293979315,0.167,0.092,0.192,0.134,0.316,0.25,0.225,0.15,0.184,0.109,0.425,0.583,0.616,0.483
166.0,135.0,166.0,135.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,39.223717314910374,129.0,163.0,129.0,163.0,0.18823531270027202,0.18823531270027202,0.067,0.012611765950918227,35.531676008879735,144.0,151.0,144.0,151.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,28.71410803072246,165.0,150.0,165.0,150.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,43.73213921133976,151.0,169.0,151.0,169.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,47.69171835864168,84.0,152.0,84.0,152.0,0.203921586275101,0.203921586275101,0.066,0.013458824694156667,49.924943665466465,0.2,0.117,0.176,0.109,0.141,0.075,0.15,0.092,0.126,0.06,0.442,0.375,0.357,0.342
189.0,134.0,189.0,134.0,0.19215688109397897,0.19215688109397897,0.074,0.014219609200954443,61.84254199173899,123.0,135.0,123.0,135.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,8.74642784226795,135.0,159.0,135.0,159.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,32.380549717384355,148.0,138.0,148.0,138.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,23.03258561256204,149.0,155.0,149.0,155.0,0.18431372940540303,0.18431372940540303,0.049,0.009031372740864749,34.90701935141412,90.0,138.0,97.0,127.0,0.18823531270027202,0.18431372940540303,0.065,0.012235295325517682,30.504098085339287,0.2,0.126,0.241,0.167,0.167,0.117,0.167,0.101,0.126,0.077,0.491,0.474,0.383,0.358
