xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,Tri0,Tri1,Tri2,Tri3
153.0,86.0,153.0,86.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,48.708315511830214,126.0,116.0,129.84289550781298,118.88214111328101,0.18431372940540303,0.113725498318672,0.049,0.009031372740864749,8.930657934997384,98.0,115.0,98.0,115.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,32.03903868720159,141.0,108.0,142.934875488281,115.739501953125,0.18431372940540303,0.172549024224281,0.05,0.009215686470270152,19.40475961328272,113.0,179.0,113.0,179.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,53.50233639758174,107.0,174.0,105.17669677734399,182.586181640625,0.180392161011696,0.172549024224281,0.049,0.008839215889573104,59.4375073040128,0.284,0.217,0.259,0.21,0.242,0.168,0.217,0.167,0.234,0.159,0.617,0.551,0.534,0.5
141.0,112.0,141.0,112.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,20.554804791094465,200.0,129.0,200.0,129.0,0.18431372940540303,0.18431372940540303,0.059,0.010874510034918778,72.51551558114994,171.0,92.0,171.0,92.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,56.14712815451918,117.0,144.0,117.0,144.0,0.180392161011696,0.180392161011696,0.049,0.008839215889573104,19.557607215607945,147.0,116.0,147.0,116.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,22.638462845343543,131.0,133.0,131.0,135.0,0.180392161011696,0.168627455830574,0.05,0.0090196080505848,8.276472678623424,0.25,0.192,0.267,0.208,0.218,0.151,0.217,0.168,0.225,0.159,0.584,0.534,0.501,0.492
84.0,55.0,82.0,52.0,0.180392161011696,0.164705887436867,0.066,0.011905882626771936,88.15043959050914,134.0,140.0,136.0,145.0,0.18431372940540303,0.172549024224281,0.066,0.0121647061407566,19.45507645834372,139.0,124.0,140.958923339844,120.082153320313,0.180392161011696,0.176470592617989,0.074,0.013349019914865503,15.367728095952936,168.0,146.0,168.0,147.94970703125,0.18431372940540303,0.14117647707462302,0.058,0.010690196305513376,45.37003986844133,134.0,149.0,134.0,145.06982421875,0.180392161011696,0.109803929924965,0.083,0.014972549363970768,18.733625465397083,134.0,183.0,134.0,187.892272949219,0.18431372940540303,0.172549024224281,0.067,0.012349019870162004,60.74106215710234,0.217,0.151,0.251,0.185,0.2,0.126,0.209,0.151,0.2,0.117,0.542,0.509,0.492,0.476
102.0,120.0,99.06283569335942,114.125610351563,0.180392161011696,0.109803929924965,0.066,0.011905882626771936,31.425254370825577,122.0,181.0,122.0,183.917663574219,0.18431372940540303,0.176470592617989,0.058,0.010690196305513376,56.68511941571401,123.0,110.0,124.96771240234399,101.145263671875,0.180392161011696,0.0901960805058479,0.083,0.014972549363970768,26.476113902954754,175.0,113.0,175.0,121.0,0.18431372940540303,0.105882361531258,0.058,0.010690196305513376,47.94267410147248,105.0,185.0,105.0,185.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,61.74544517614235,140.0,171.0,141.0,175.0,0.18431372940540303,0.168627455830574,0.058,0.010690196305513376,49.381170500505554,0.259,0.193,0.259,0.201,0.2,0.117,0.234,0.176,0.217,0.15,0.601,0.517,0.501,0.509
77.0,44.0,77.0,44.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,97.5832977512033,122.0,148.0,123.0,151.0,0.18431372940540303,0.176470592617989,0.058,0.010690196305513376,23.926972228010797,125.0,121.0,126.0,107.0,0.180392161011696,0.133333340287209,0.084,0.015152941524982465,20.554804791094465,152.0,128.0,152.0,128.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,24.50510150968569,71.0,133.0,71.0,133.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,56.76706791793989,145.0,153.0,145.0,153.0,0.160784319043159,0.160784319043159,0.017,0.0027333334237337036,30.92733418838423,0.225,0.142,0.242,0.184,0.209,0.125,0.209,0.151,0.242,0.167,0.551,0.509,0.493,0.468
117.0,74.0,115.0,70.0,0.18431372940540303,0.11764706671237898,0.075,0.013823529705405227,58.8430114796991,194.0,117.0,196.488739013672,131.78454589843798,0.18823531270027202,0.172549024224281,0.066,0.012423530638217955,69.12165683960686,190.0,119.0,189.02233886718798,115.089477539063,0.180392161011696,0.176470592617989,0.075,0.0135294120758772,62.76160647595416,144.0,114.0,144.0,114.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,21.319005605327842,146.0,154.0,146.0,154.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,32.31872522238462,123.0,159.0,123.0,159.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,31.81980515339464,0.218,0.143,0.242,0.176,0.184,0.109,0.225,0.159,0.201,0.126,0.535,0.492,0.484,0.492
133.0,131.0,133.0,131.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,6.519202405202649,229.0,181.0,229.0,187.0,0.18431372940540303,0.105882361531258,0.066,0.0121647061407566,117.65415419780128,154.0,112.0,155.0,108.0,0.176470592617989,0.160784319043159,0.075,0.013235294446349175,33.712015662075146,146.0,110.0,147.0,116.0,0.18431372940540303,0.172549024224281,0.05,0.009215686470270152,22.638462845343543,106.0,167.0,106.0,167.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,44.972213643537714,127.0,170.0,127.0,174.0,0.180392161011696,0.0980392247438431,0.066,0.011905882626771936,46.502688094345686,0.226,0.159,0.242,0.176,0.209,0.134,0.209,0.159,0.209,0.143,0.543,0.501,0.484,0.484
125.0,82.0,122.0,75.0,0.180392161011696,0.0901960805058479,0.083,0.014972549363970768,52.787309080876625,206.0,160.0,205.028472900391,165.82922363281298,0.18431372940540303,0.176470592617989,0.067,0.012349019870162004,86.48579938094375,156.0,109.0,157.9609375,98.21484375,0.180392161011696,0.15686275064945202,0.092,0.01659607881307603,42.25504810038465,169.0,159.0,169.0,159.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,52.100863716449076,110.0,126.0,110.0,121.0,0.180392161011696,0.11764706671237898,0.083,0.014972549363970768,18.66815470259447,146.0,165.0,146.0,165.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,41.81506905411015,0.225,0.142,0.242,0.175,0.176,0.084,0.225,0.151,0.201,0.118,0.559,0.492,0.484,0.492
128.0,86.0,128.0,86.0,0.180392161011696,0.180392161011696,0.059,0.010643137499690064,41.50301193889427,224.0,140.0,232.827789306641,166.897277832031,0.18823531270027202,0.164705887436867,0.066,0.012423530638217955,112.45482960192683,137.0,39.0,137.0,39.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,89.00842656737619,172.0,101.0,172.0,101.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,51.79285665031424,117.0,135.0,117.0,135.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,12.90348790056394,142.0,143.0,142.0,143.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,21.224985276791124,0.226,0.167,0.209,0.143,0.192,0.101,0.217,0.151,0.201,0.118,0.526,0.467,0.492,0.476
130.0,111.0,125.0,102.0,0.18431372940540303,0.149019613862038,0.075,0.013823529705405227,25.622255950637914,178.0,187.0,178.977935791016,189.933776855469,0.18823531270027202,0.172549024224281,0.066,0.012423530638217955,80.91943132364725,193.0,112.0,193.0,108.0,0.180392161011696,0.176470592617989,0.075,0.0135294120758772,68.34105647412835,180.0,66.0,179.020935058594,75.7906494140625,0.18431372940540303,0.15686275064945202,0.067,0.012349019870162004,72.99495658832366,111.0,165.0,111.0,165.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,40.96950085124299,128.0,142.0,128.0,142.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,14.508618128546908,0.201,0.126,0.25,0.184,0.184,0.109,0.201,0.134,0.208,0.133,0.526,0.501,0.46,0.467
