xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,Tri0,Tri1,Tri2,Tri3,state
130.0,123.0,130.0,123.0,0.172549024224281,0.172549024224281,0.082,0.014149019986391042,5.1478150704935,160.0,166.0,160.0,166.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,50.38352905464245,136.0,168.0,136.0,168.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,41.382363393117124,146.0,164.0,163.0,150.0,0.207843154668808,0.176470592617989,0.091,0.01891372707486153,42.02975136733502,115.0,133.0,115.0,133.0,0.19215688109397897,0.19215688109397897,0.083,0.015949021130800253,13.656500283747663,125.0,138.0,125.0,138.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,10.793516572461451,0.324,0.242,0.201,0.126,0.243,0.16,0.267,0.176,0.259,0.176,0.608,0.535,0.593,0.601,5
164.0,137.0,164.0,137.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,37.71604433129222,127.0,150.0,127.0,150.0,0.203921586275101,0.203921586275101,0.092,0.01876078593730929,22.5055548698538,157.0,139.0,157.0,139.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,31.662280397975127,216.0,129.0,216.0,129.0,0.19215688109397897,0.19215688109397897,0.091,0.017486276179552087,88.51271095159159,131.0,154.0,131.0,154.0,0.19215688109397897,0.19215688109397897,0.092,0.017678433060646065,26.73013280924732,148.0,163.0,148.0,163.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,40.99390198553927,0.317,0.251,0.217,0.125,0.268,0.21,0.233,0.142,0.251,0.159,0.592,0.576,0.593,0.558,5
156.0,116.0,156.0,116.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,30.732718721258617,154.0,127.0,154.0,127.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,26.504716561397142,166.0,149.0,166.0,149.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,44.09648512069868,171.0,164.0,177.338409423828,159.49621582031202,0.203921586275101,0.180392161011696,0.091,0.01855686435103419,59.22520477564509,170.0,177.0,170.0,177.0,0.18431372940540303,0.18431372940540303,0.125,0.02303921617567538,65.2418577295282,126.0,194.0,126.0,194.0,0.180392161011696,0.180392161011696,0.084,0.015152941524982465,66.51691514193965,0.326,0.268,0.233,0.142,0.251,0.184,0.25,0.159,0.292,0.167,0.626,0.575,0.626,0.626,5
164.0,111.0,164.0,111.0,0.176470592617989,0.176470592617989,0.065,0.011470588520169286,40.05621050473946,130.0,114.0,130.0,114.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,13.729530217745982,132.0,116.0,132.0,116.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,12.349089035228468,211.0,156.0,211.0,156.0,0.203921586275101,0.203921586275101,0.083,0.016925491660833385,88.229813555283,143.0,132.0,143.0,132.0,0.18823531270027202,0.18823531270027202,0.092,0.017317648768425026,16.140012391568973,149.0,174.0,149.0,174.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,51.22987409705396,0.391,0.326,0.225,0.167,0.292,0.234,0.284,0.201,0.292,0.2,0.674,0.6,0.668,0.626,5
143.0,157.0,143.0,157.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,33.324165405903265,153.0,166.0,153.0,166.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,46.17899955607527,145.0,152.0,145.0,152.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,30.108138434649195,228.0,116.0,228.0,116.0,0.203921586275101,0.203921586275101,0.125,0.025490198284387627,101.15582039606025,156.0,127.0,156.0,127.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,28.50438562747845,154.0,152.0,154.0,152.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,36.09016486523718,0.393,0.31,0.2,0.125,0.317,0.217,0.334,0.209,0.334,0.234,0.693,0.642,0.751,0.751,5
153.0,148.0,153.0,148.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,32.71849629796577,89.0,196.0,89.0,196.0,0.19215688109397897,0.19215688109397897,0.091,0.017486276179552087,78.57798673928977,162.0,111.0,162.0,111.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,38.242646351945886,198.0,117.0,198.0,117.0,0.19607844948768602,0.19607844948768602,0.133,0.026078433781862243,71.27762622310033,123.0,147.0,123.0,147.0,0.18823531270027202,0.18823531270027202,0.074,0.01392941313982013,20.0124960961895,143.0,135.0,143.0,138.0,0.176470592617989,0.0941176563501358,0.075,0.013235294446349175,18.721645226849056,0.359,0.276,0.275,0.184,0.309,0.209,0.343,0.21,0.317,0.243,0.734,0.717,0.726,0.735,5
182.0,130.0,182.0,130.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,54.55730931781735,132.0,193.0,132.0,193.0,0.18431372940540303,0.18431372940540303,0.125,0.02303921617567538,65.65439817712138,157.0,168.0,157.0,168.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,50.104889980919026,206.0,127.0,206.0,127.0,0.19215688109397897,0.19215688109397897,0.091,0.017486276179552087,78.50159234053791,136.0,131.0,136.0,131.0,0.19215688109397897,0.19215688109397897,0.082,0.015756864249706275,9.192388155425117,143.0,152.0,143.0,152.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,28.991378028648448,0.375,0.267,0.251,0.126,0.309,0.209,0.301,0.21,0.325,0.243,0.726,0.651,0.692,0.717,5
168.0,136.0,168.0,136.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,41.382363393117124,159.0,165.0,159.0,165.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,48.974483151943524,140.0,151.0,140.0,151.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,26.61766330841233,228.0,106.0,228.0,106.0,0.20000001788139302,0.20000001788139302,0.1,0.020000001788139304,102.77402395547233,118.0,116.0,118.0,116.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,14.916433890176299,132.0,187.0,133.955993652344,187.97802734375,0.180392161011696,0.11764706671237898,0.083,0.014972549363970768,60.8216379706308,0.392,0.309,0.234,0.142,0.343,0.243,0.451,0.351,0.359,0.293,0.726,0.677,0.86,0.893,5
169.0,100.0,169.0,100.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,49.78453575157651,159.0,102.0,159.0,102.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,40.527768258318886,138.0,122.0,138.0,122.0,0.176470592617989,0.176470592617989,0.042,0.0074117648899555385,11.853269591129697,160.0,161.0,160.0,161.0,0.203921586275101,0.203921586275101,0.083,0.016925491660833385,46.674404120459855,122.0,134.0,122.0,134.0,0.18823531270027202,0.18823531270027202,0.099,0.018635295957326933,8.514693182963201,117.0,155.0,117.0,155.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,29.436372059070052,0.366,0.275,0.292,0.184,0.276,0.234,0.301,0.218,0.258,0.159,0.7,0.651,0.676,0.634,5
180.0,129.0,180.0,129.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,52.52142420003479,82.0,154.0,82.0,154.0,0.19607844948768602,0.19607844948768602,0.083,0.01627451130747794,52.65453446760307,143.0,144.0,143.0,144.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,22.638462845343543,169.0,151.0,169.0,151.0,0.203921586275101,0.203921586275101,0.092,0.01876078593730929,47.69171835864168,102.0,135.0,102.0,135.0,0.18823531270027202,0.18823531270027202,0.099,0.018635295957326933,26.580067720004024,141.0,152.0,142.962951660156,155.92590332031298,0.180392161011696,0.121568635106087,0.091,0.016415686652064335,32.35946312317468,0.334,0.267,0.226,0.143,0.3,0.217,0.251,0.159,0.267,0.168,0.643,0.618,0.65,0.609,5
