xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6,state
47.0,80.0,47.0,80.0,0.172549024224281,0.172549024224281,0.042,0.007247059017419803,7.433034373659253,25.0,101.0,25.0,101.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,34.39840112563373,33.0,120.0,33.0,120.0,0.18431372940540303,0.18431372940540303,0.059,0.010874510034918778,42.97964634568321,35.0,109.0,35.0,109.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,32.60751447136074,61.0,99.0,61.0,99.0,0.19215688109397897,0.19215688109397897,0.049,0.00941568717360497,17.92344832893492,62.0,95.0,62.0,95.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,14.84082207965583,51.0,68.0,51.0,68.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,14.807092894960848,73.0,58.0,73.0,58.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,31.00403199585499,0.934,0.892,0.801,0.751,0.167,0.108,0.66,0.585,0.517,0.468,2.013,1.972,0.249,0.183,1
17.0,104.0,17.0,104.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,42.79310692155922,42.0,78.0,42.0,78.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,12.816005617976296,36.0,117.0,36.0,117.0,0.18823531270027202,0.18823531270027202,0.099,0.018635295957326933,38.91336531321854,69.0,82.0,69.0,82.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,15.008331019803634,57.0,90.0,57.0,90.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,8.077747210701755,73.0,104.0,73.0,104.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,28.692333470807146,50.0,113.0,50.0,113.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,30.76117683054405,70.0,93.0,70.0,93.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,19.13765920900464,1.111,1.019,0.3,0.217,0.267,0.168,0.4,0.317,0.793,0.718,0.568,0.476,0.626,0.535,1
54.0,89.0,54.0,89.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,6.5,55.0,50.0,55.0,50.0,0.18823531270027202,0.18823531270027202,0.058,0.010917648136615778,32.515380975778214,35.0,112.0,35.0,112.0,0.18823531270027202,0.18823531270027202,0.058,0.010917648136615778,35.0891721190455,58.0,87.0,58.0,87.0,0.18823531270027202,0.18823531270027202,0.058,0.010917648136615778,6.020797289396148,58.0,88.0,58.0,88.0,0.18823531270027202,0.18823531270027202,0.058,0.010917648136615778,6.800735254367722,37.0,101.0,37.0,101.0,0.176470592617989,0.176470592617989,0.042,0.0074117648899555385,25.124689052802225,32.0,104.0,32.0,104.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,30.76117683054405,58.0,106.0,58.0,106.0,0.180392161011696,0.180392161011696,0.065,0.011725490465760241,23.837994882120434,0.684,0.626,0.292,0.234,0.175,0.117,0.276,0.218,0.525,0.467,0.459,0.417,1.162,1.087,1
59.0,79.0,59.0,79.0,0.172549024224281,0.172549024224281,0.049,0.00845490218698977,6.103277807866851,46.0,90.0,46.0,90.0,0.19215688109397897,0.19215688109397897,0.083,0.015949021130800253,10.965856099730654,50.0,104.0,50.0,104.0,0.18431372940540303,0.18431372940540303,0.049,0.009031372740864749,21.86892772862904,53.0,96.0,53.0,96.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,13.536986370680884,46.0,106.0,46.0,106.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,24.82438317461282,69.0,92.0,69.0,92.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,17.755280904564703,11.0,85.0,11.0,85.0,0.19607844948768602,0.19607844948768602,0.083,0.01627451130747794,43.072613108563544,53.0,119.0,53.0,119.0,0.18823531270027202,0.18823531270027202,0.074,0.01392941313982013,36.513696060519536,0.609,0.56,0.576,0.493,0.183,0.134,0.626,0.559,1.303,1.253,0.734,0.651,0.476,0.393,1
45.0,115.0,45.0,115.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,33.7231374578345,35.0,75.0,35.0,75.0,0.19607844948768602,0.19607844948768602,0.083,0.01627451130747794,20.426698215815495,40.0,124.0,40.0,124.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,43.7978309965231,62.0,99.0,62.0,99.0,0.19215688109397897,0.19215688109397897,0.066,0.012682354152202611,18.33712082089225,51.0,87.0,51.0,87.0,0.20000001788139302,0.20000001788139302,0.083,0.01660000148415562,5.408326913195984,38.0,89.0,38.0,89.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,17.269916039170543,43.0,113.0,43.0,113.0,0.19215688109397897,0.19215688109397897,0.083,0.015949021130800253,32.42298567374695,63.0,109.0,63.0,109.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,27.98660393831306,0.651,0.543,0.376,0.293,0.2,0.109,0.259,0.193,0.784,0.701,0.442,0.367,0.342,0.259,1
66.0,76.0,66.0,76.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,13.647344063956181,72.0,64.0,72.0,64.0,0.19215688109397897,0.19215688109397897,0.092,0.017678433060646065,25.811818998280614,71.0,100.0,71.0,100.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,24.397745797511703,74.0,84.0,74.0,84.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,20.05617112013158,77.0,98.0,77.0,98.0,0.18823531270027202,0.18823531270027202,0.058,0.010917648136615778,27.735356496717326,42.0,111.0,42.0,111.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,30.923292192132454,40.0,119.0,40.0,119.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,39.092838218783754,69.0,64.0,69.0,64.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,23.817010727629107,0.626,0.551,0.276,0.184,0.183,0.108,0.234,0.184,0.777,0.719,1.37,1.304,0.292,0.201,1
52.0,93.0,52.0,93.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,10.688779163215974,60.0,62.0,60.0,62.0,0.18823531270027202,0.18823531270027202,0.092,0.017317648768425026,21.360009363293827,39.0,79.0,39.0,79.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,15.402921800749363,67.0,73.0,67.0,73.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,16.101242188104617,80.0,96.0,80.0,96.0,0.18823531270027202,0.18823531270027202,0.092,0.017317648768425026,29.295904150580505,60.0,109.0,60.0,109.0,0.176470592617989,0.176470592617989,0.099,0.01747058866918091,27.17075633838705,51.0,79.0,51.0,79.0,0.18823531270027202,0.18823531270027202,0.074,0.01392941313982013,4.6097722286464435,50.0,97.0,50.0,97.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,15.041608956491324,0.701,0.601,0.275,0.183,0.192,0.117,0.476,0.418,1.437,1.345,0.575,0.476,0.467,0.393,1
55.0,78.0,55.0,78.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,4.6097722286464435,70.0,62.0,70.0,62.0,0.18431372940540303,0.18431372940540303,0.125,0.02303921617567538,26.004807247891687,64.0,80.0,64.0,80.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,10.307764064044152,65.0,74.0,65.0,74.0,0.18823531270027202,0.18823531270027202,0.074,0.01392941313982013,13.901438774457844,43.0,117.0,43.0,117.0,0.20000001788139302,0.20000001788139302,0.066,0.01320000118017194,36.21118611699981,49.0,98.0,49.0,98.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,16.28649747490233,20.0,109.0,20.0,109.0,0.19215688109397897,0.19215688109397897,0.083,0.015949021130800253,43.107423954581186,87.0,86.0,87.0,86.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,33.185087012090236,0.659,0.568,0.459,0.334,0.184,0.118,0.275,0.201,0.884,0.818,0.651,0.568,0.276,0.193,1
46.0,81.0,46.0,81.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,8.139410298049853,42.0,91.0,42.0,91.0,0.19215688109397897,0.19215688109397897,0.091,0.017486276179552087,14.705441169852742,53.0,102.0,53.0,102.0,0.19215688109397897,0.19215688109397897,0.083,0.015949021130800253,19.525624189766635,85.0,108.0,85.0,108.0,0.18823531270027202,0.18823531270027202,0.092,0.017317648768425026,40.1403786728526,63.0,80.0,63.0,80.0,0.19607844948768602,0.19607844948768602,0.066,0.012941177666187277,9.340770846134703,81.0,77.0,81.0,77.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,27.55449146690971,49.0,99.0,49.0,99.0,0.19215688109397897,0.19215688109397897,0.083,0.015949021130800253,17.240939649566666,89.0,86.0,89.0,86.0,0.18823531270027202,0.18823531270027202,0.074,0.01392941313982013,35.174564673923115,0.676,0.568,0.275,0.184,0.183,0.1,0.677,0.585,0.625,0.559,0.543,0.451,0.292,0.209,1
39.0,113.0,39.0,113.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,33.98896879871468,53.0,91.0,53.0,91.0,0.19607844948768602,0.19607844948768602,0.083,0.01627451130747794,8.558621384311845,73.0,108.0,73.0,108.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,31.80015723231569,72.0,95.0,72.0,95.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,21.914607000811127,38.0,80.0,38.0,80.0,0.19215688109397897,0.19215688109397897,0.05,0.00960784405469895,16.194134740701646,83.0,67.0,83.0,67.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,32.882366094914765,17.0,77.0,17.0,77.0,0.19607844948768602,0.19607844948768602,0.066,0.012941177666187277,37.406550228536176,54.0,87.0,54.0,87.0,0.18823531270027202,0.18823531270027202,0.058,0.010917648136615778,4.5,0.693,0.601,0.935,0.852,0.217,0.134,0.559,0.501,0.735,0.685,0.743,0.677,0.4,0.334,1
