xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,xCoordPress8,yCoordPress8,xCoordRelease8,yCoordRelease8,pressPressure8,releasePressure8,holdTime8,HPP8,offSet8,xCoordPress9,yCoordPress9,xCoordRelease9,yCoordRelease9,pressPressure9,releasePressure9,holdTime9,HPP9,offSet9,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6,PPTime7,UDTime7,PPTime8,UDTime8,state
69.0,70.0,69.0,70.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,19.525624189766635,72.0,91.0,72.0,91.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,19.90602923739438,81.0,49.0,81.0,49.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,43.02615483633182,49.0,77.0,49.0,77.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,7.433034373659253,71.0,106.0,71.0,106.0,0.149019613862038,0.149019613862038,0.041,0.006109804168343558,29.004310024546353,74.0,105.0,74.0,105.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,30.103986446980738,66.0,95.0,64.02978515625,97.955322265625,0.172549024224281,0.109803929924965,0.1,0.017254902422428102,18.42453735144676,59.0,75.0,59.0,75.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,9.013878188659973,33.0,69.0,33.0,69.0,0.172549024224281,0.172549024224281,0.042,0.007247059017419803,24.964975465639856,44.0,65.0,44.0,65.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,20.155644370746373,0.249,0.149,0.201,0.134,0.4,0.334,0.576,0.518,0.342,0.301,0.325,0.233,0.259,0.159,0.434,0.359,0.476,0.434,1
70.0,74.0,70.0,74.0,0.172549024224281,0.172549024224281,0.109,0.01880784364044663,18.117670931993437,42.0,100.0,42.0,100.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,21.219095173922945,52.0,102.0,52.0,102.0,0.14509804546833,0.14509804546833,0.033,0.00478823550045489,19.60229578391266,30.0,63.0,30.0,63.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,30.923292192132454,74.0,109.0,74.0,109.0,0.176470592617989,0.176470592617989,0.084,0.014823529779911077,33.20015060206806,60.0,98.0,60.0,98.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,16.62077013859466,76.0,108.0,76.0,108.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,33.67862823809782,52.0,84.0,52.0,84.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,2.5,44.0,66.0,44.0,66.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,19.29378138157474,74.0,120.0,74.0,120.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,42.5,0.234,0.125,0.217,0.151,0.977,0.944,0.742,0.667,0.326,0.242,0.3,0.2,0.217,0.125,0.401,0.309,0.4,0.359,1
76.0,75.0,76.0,75.0,0.172549024224281,0.172549024224281,0.109,0.01880784364044663,23.243278598338918,41.0,77.0,42.0,81.0,0.176470592617989,0.149019613862038,0.074,0.013058823853731185,12.093386622447824,71.0,67.0,71.0,67.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,23.005434140654682,34.0,73.0,34.0,73.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,22.14158982548453,44.0,106.0,45.9736328125,107.9736328125,0.176470592617989,0.12941177189350098,0.099,0.01747058866918091,26.70821107627116,76.0,87.0,76.0,87.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,22.45551157288562,71.0,89.0,71.0,89.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,18.200274723201296,49.0,79.0,49.0,79.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,6.103277807866851,50.0,63.0,51.9586181640625,67.8966064453125,0.176470592617989,0.14509804546833,0.075,0.013235294446349175,14.745383789958943,48.0,94.0,48.0,94.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,12.971121771072847,0.276,0.167,0.2,0.126,0.409,0.334,0.493,0.426,0.308,0.209,0.284,0.184,0.217,0.159,0.401,0.326,0.475,0.4,1
64.0,85.0,64.0,85.0,0.176470592617989,0.176470592617989,0.124,0.021882353484630634,10.307764064044152,81.0,47.0,80.0,55.0,0.176470592617989,0.164705887436867,0.1,0.0176470592617989,37.84507894033252,78.0,80.0,78.0,80.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,24.12985702402731,84.0,65.0,84.0,65.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,34.73110997362451,78.0,108.0,78.0,110.0,0.172549024224281,0.133333340287209,0.066,0.011388235598802548,36.5,56.0,105.0,56.0,105.0,0.168627455830574,0.168627455830574,0.058,0.009780392438173293,22.588713996153036,83.0,102.0,83.0,102.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,34.9463875100131,80.0,79.0,80.0,79.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,26.23451924468981,40.0,95.0,40.0,95.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,18.76832437912346,70.0,128.0,70.0,128.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,48.23121395942673,0.233,0.109,0.242,0.142,0.409,0.326,0.551,0.476,0.342,0.276,0.292,0.234,0.217,0.117,0.426,0.326,0.45,0.376,1
74.0,66.0,74.0,66.0,0.172549024224281,0.172549024224281,0.116,0.020015686810016597,25.927784324928346,60.0,77.0,60.0,91.0,0.172549024224281,0.0941176563501358,0.091,0.01570196120440957,10.404326023342406,72.0,82.0,72.0,82.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,18.006943105369107,54.0,78.0,56.0,80.0,0.176470592617989,0.160784319043159,0.091,0.016058823928236998,3.2015621187164243,63.0,112.0,63.0,112.0,0.172549024224281,0.172549024224281,0.074,0.012768627792596793,30.84234102658227,72.0,84.0,72.0,84.0,0.15686275064945202,0.15686275064945202,0.075,0.011764706298708901,18.062391868188442,72.0,111.0,72.0,111.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,33.70830758136635,70.0,75.0,70.0,75.0,0.172549024224281,0.172549024224281,0.082,0.014149019986391042,17.67059704707229,64.0,91.0,64.0,91.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,13.124404748406688,59.0,107.0,61.0,110.0,0.172549024224281,0.10196079313755,0.091,0.01570196120440957,28.376927247325423,0.259,0.143,0.225,0.134,0.392,0.326,0.551,0.46,0.333,0.259,0.284,0.209,0.251,0.151,0.408,0.326,0.476,0.409,1
80.0,99.0,80.0,99.0,0.172549024224281,0.172549024224281,0.074,0.012768627792596793,30.793668180325643,41.0,88.0,43.7017822265625,95.1053466796875,0.172549024224281,0.109803929924965,0.075,0.012941176816821075,16.277225016084675,80.0,86.0,80.0,86.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,26.23451924468981,79.0,94.0,79.0,94.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,27.518175811634027,71.0,119.0,71.0,119.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,40.26474885057648,82.0,98.0,82.0,98.0,0.168627455830574,0.168627455830574,0.066,0.011129412084817885,32.00390601161052,80.0,120.0,80.0,120.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,45.63167759353145,71.0,83.0,71.0,83.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,17.00735135169495,56.0,79.0,56.0,79.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,4.031128874149275,62.0,113.0,62.0,113.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,31.531730050855124,0.225,0.151,0.183,0.108,0.426,0.326,0.509,0.443,0.301,0.209,0.266,0.2,0.217,0.134,0.368,0.293,0.5,0.442,1
82.0,103.0,82.0,103.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,34.70230539892127,79.0,100.0,80.0,105.0,0.176470592617989,0.14117647707462302,0.083,0.014647059187293088,34.38386249390839,69.0,75.0,67.03302001953121,75.0,0.172549024224281,0.0784313753247261,0.099,0.01708235339820382,15.036941538408042,73.0,97.0,73.0,97.0,0.172549024224281,0.172549024224281,0.099,0.01708235339820382,23.90083680543424,61.0,107.0,64.921875,107.0,0.172549024224281,0.15686275064945202,0.083,0.014321569010615324,26.824193436441384,69.0,98.0,70.96856689453121,95.047119140625,0.168627455830574,0.121568635106087,0.108,0.01821176522970199,21.10361251499891,90.0,63.0,89.20281982421879,72.580078125,0.176470592617989,0.137254908680916,0.091,0.016058823928236998,36.57380720655856,62.0,64.0,62.0,64.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,20.155644370746373,38.0,72.0,38.0,72.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,19.13765920900464,73.0,117.0,73.0,118.96435546875,0.172549024224281,0.0901960805058479,0.1,0.017254902422428102,41.11750502828884,0.233,0.125,0.176,0.093,0.459,0.36,0.659,0.56,0.692,0.609,0.301,0.193,0.208,0.117,0.443,0.36,0.425,0.376,1
72.0,50.0,72.0,50.0,0.160784319043159,0.160784319043159,0.083,0.013345098480582199,37.151715976519846,50.0,72.0,52.6998291015625,78.24951171875,0.176470592617989,0.14117647707462302,0.083,0.014647059187293088,4.444895386191598,63.0,67.0,63.0,67.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,17.92344832893492,73.0,90.0,73.0,90.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,20.426698215815495,74.0,110.0,74.0,110.0,0.168627455830574,0.168627455830574,0.091,0.015345098480582233,34.00367627183861,65.0,97.0,65.0,97.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,18.200274723201296,66.0,107.0,67.0,110.0,0.176470592617989,0.12941177189350098,0.1,0.0176470592617989,30.41792234851026,77.0,71.0,77.0,71.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,25.71478174124758,56.0,76.0,56.0,76.0,0.176470592617989,0.176470592617989,0.057,0.010058823779225373,6.800735254367722,70.0,109.0,70.98321533203121,110.966430664063,0.176470592617989,0.14117647707462302,0.075,0.013235294446349175,33.14765870715526,0.225,0.142,0.217,0.134,0.409,0.326,0.484,0.426,0.309,0.218,0.275,0.192,0.209,0.109,0.434,0.343,0.458,0.401,1
88.0,99.0,88.0,99.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,37.79219496139381,80.0,107.0,82.0,115.0,0.172549024224281,0.14117647707462302,0.1,0.017254902422428102,42.8981351576033,84.0,70.0,84.0,70.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,32.5,58.0,74.0,58.0,74.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,9.394147114027968,68.0,97.0,71.0,106.0,0.172549024224281,0.10196079313755,0.091,0.01570196120440957,29.004310024546353,87.0,103.0,87.0,103.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,38.84906691286162,63.0,84.0,63.0,84.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,9.12414379544733,62.0,67.0,62.0,67.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,17.44276354251241,46.0,97.0,46.0,97.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,16.560495161679196,89.0,118.0,89.0,118.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,49.852281793314134,0.234,0.142,0.242,0.142,0.434,0.36,0.492,0.434,0.267,0.176,0.267,0.201,0.192,0.109,0.417,0.317,0.467,0.401,1
96.0,70.0,96.0,70.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,43.82065722921097,66.0,110.0,66.0,111.957275390625,0.172549024224281,0.15686275064945202,0.075,0.012941176816821075,31.807720343324217,63.0,79.0,63.0,79.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,9.656603957913983,49.0,63.0,49.0,63.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,20.130822139197395,74.0,115.0,74.0,115.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,38.16084380618437,62.0,105.0,62.0,105.0,0.160784319043159,0.160784319043159,0.067,0.010772549375891654,23.879907872519105,68.0,100.0,68.0,100.0,0.164705887436867,0.164705887436867,0.067,0.01103529445827009,22.41093483101497,47.0,82.0,47.0,82.0,0.164705887436867,0.164705887436867,0.067,0.01103529445827009,7.0178344238090995,96.0,76.0,96.0,76.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,42.5,93.0,105.0,93.0,105.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,45.0249930594109,0.258,0.15,0.192,0.117,0.401,0.326,0.517,0.443,0.3,0.217,0.267,0.2,0.209,0.142,0.384,0.317,0.426,0.368,1
