xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,Tri0,Tri1,Tri2,Tri3,state
127.0,138.0,127.0,138.0,0.18823531270027202,0.18823531270027202,0.09,0.016941178143024482,10.51189802081432,135.0,130.0,135.0,130.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,7.905694150420948,168.0,62.0,168.0,62.0,0.18823531270027202,0.18823531270027202,0.084,0.01581176626682285,77.00973964376195,138.0,125.0,138.0,125.0,0.180392161011696,0.180392161011696,0.084,0.015152941524982465,10.793516572461451,162.0,126.0,162.0,126.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,34.532593299664015,154.0,101.0,154.0,101.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,37.476659402887016,0.349,0.259,0.417,0.334,0.217,0.133,0.209,0.125,0.251,0.176,0.85,0.718,0.501,0.526,5
137.0,88.0,137.0,88.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,40.626346131543755,116.0,91.0,116.0,91.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,38.268786236304905,145.0,134.0,159.0,124.0,0.18823531270027202,0.168627455830574,0.099,0.018635295957326933,31.693847983480957,165.0,105.0,165.0,105.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,43.73213921133976,121.0,136.0,121.0,136.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,10.700467279516348,133.0,82.0,134.0,85.0,0.18431372940540303,0.164705887436867,0.067,0.012349019870162004,42.99418565341132,0.292,0.217,0.301,0.226,0.233,0.134,0.242,0.159,0.242,0.159,0.692,0.617,0.558,0.551,5
100.0,102.0,100.0,102.0,0.18823531270027202,0.18823531270027202,0.058,0.010917648136615778,37.50333318519835,149.0,135.0,149.0,135.0,0.18823531270027202,0.18823531270027202,0.074,0.01392941313982013,22.7705950734714,163.0,119.0,163.0,119.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,36.50342449688796,185.0,78.0,185.0,78.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,75.871602065595,141.0,160.0,141.0,160.0,0.176470592617989,0.176470592617989,0.059,0.01041176496446135,35.19232870953555,123.0,116.0,123.0,116.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,12.349089035228468,0.284,0.226,0.308,0.234,0.234,0.167,0.208,0.133,0.218,0.159,0.659,0.617,0.501,0.5,5
124.0,109.0,124.0,109.0,0.19215688109397897,0.19215688109397897,0.083,0.015949021130800253,18.828170383762732,130.0,94.0,130.0,94.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,33.59315406448165,181.0,119.0,181.0,119.0,0.18823531270027202,0.18823531270027202,0.084,0.01581176626682285,54.171025465649066,192.0,97.0,192.0,97.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,71.34773997822215,150.0,143.0,150.0,143.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,27.3221521846285,138.0,155.0,138.0,155.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,29.436372059070052,0.3,0.217,0.275,0.2,0.251,0.167,0.843,0.76,0.267,0.184,0.659,0.609,1.177,1.168,5
87.0,130.0,87.0,130.0,0.18823531270027202,0.18823531270027202,0.092,0.017317648768425026,40.577087130546964,155.0,123.0,155.0,123.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,27.865749586185547,127.0,116.0,129.945007324219,116.0,0.18823531270027202,0.172549024224281,0.074,0.01392941313982013,11.757043030264224,164.0,132.0,164.0,132.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,36.776351096866584,154.0,138.0,154.0,138.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,28.50438562747845,154.0,111.0,154.0,111.0,0.18823531270027202,0.18823531270027202,0.067,0.012611765950918227,31.216982557575932,0.342,0.25,0.226,0.159,0.242,0.168,0.242,0.167,0.267,0.192,0.642,0.543,0.559,0.576,5
96.0,132.0,100.508743286133,133.836242675781,0.18823531270027202,0.172549024224281,0.075,0.014117648452520401,27.72500514409797,155.0,76.0,155.0,76.0,0.18823531270027202,0.18823531270027202,0.067,0.012611765950918227,58.382360349680965,178.0,121.0,179.969482421875,118.045776367187,0.18823531270027202,0.176470592617989,0.092,0.017317648768425026,53.314434538112565,141.0,126.0,141.0,126.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,13.583077707206124,128.0,124.0,128.0,124.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,3.5355339059327378,167.0,104.0,167.0,104.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,45.96194077712559,0.334,0.259,0.267,0.2,0.242,0.15,0.159,0.092,0.267,0.201,0.693,0.576,0.467,0.501,5
109.0,110.0,109.0,110.0,0.19215688109397897,0.19215688109397897,0.083,0.015949021130800253,25.465663156493687,150.0,123.0,150.0,123.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,22.94558781116753,154.0,141.0,154.0,141.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,29.740544715926102,147.0,99.0,147.0,99.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,34.532593299664015,135.0,123.0,135.0,123.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,8.74642784226795,196.0,84.0,196.0,84.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,81.14493206602616,0.301,0.218,0.233,0.167,0.234,0.159,0.167,0.101,0.417,0.351,0.609,0.533,0.467,0.659,5
127.0,123.0,127.0,123.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,4.527692569068709,137.0,108.0,137.0,108.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,21.691011963483863,153.0,87.0,155.955749511719,86.0147705078125,0.18823531270027202,0.176470592617989,0.091,0.017129413455724753,50.3065994308218,147.0,117.0,147.0,117.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,22.147234590350102,138.0,126.0,138.0,126.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,10.606601717798213,130.0,124.0,130.0,124.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,4.301162633521313,0.317,0.242,0.284,0.209,0.275,0.184,0.2,0.109,0.259,0.192,0.692,0.65,0.542,0.542,5
121.0,129.0,121.0,129.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,6.670832032063167,155.0,154.0,155.0,154.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,38.19031290785662,154.0,113.0,154.0,113.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,30.20761493398643,181.0,106.0,181.0,106.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,57.65847726050351,172.0,155.0,172.0,155.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,52.31156659860226,178.0,90.0,178.0,90.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,62.90071541723512,0.384,0.309,0.259,0.192,0.267,0.184,0.192,0.101,0.275,0.2,0.726,0.617,0.534,0.534,5
75.0,82.0,75.0,82.0,0.19215688109397897,0.19215688109397897,0.066,0.012682354152202611,69.47301634447723,159.0,112.0,159.0,112.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,35.106979363083916,164.0,105.0,165.0,100.0,0.18431372940540303,0.172549024224281,0.074,0.013639215975999824,46.502688094345686,138.0,109.0,138.0,109.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,21.27204738618265,152.0,110.0,152.0,110.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,30.108138434649195,155.0,143.0,155.0,143.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,31.567388235329194,0.292,0.226,0.276,0.201,0.25,0.176,0.167,0.092,0.259,0.193,0.642,0.601,0.483,0.5,5
