xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,state
46.0,90.0,46.0,90.0,0.15686275064945202,0.15686275064945202,0.083,0.013019608303904518,10.965856099730654,48.0,82.0,48.0,82.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,6.020797289396148,45.0,100.0,47.0,101.0,0.176470592617989,0.109803929924965,0.058,0.010235294371843362,19.78004044485248,73.0,92.0,70.0,92.0,0.176470592617989,0.14117647707462302,0.058,0.010235294371843362,18.607794065928395,50.0,91.0,50.0,91.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,9.394147114027968,50.0,119.0,50.0,119.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,36.718523935474316,0.468,0.385,0.467,0.401,0.418,0.36,0.384,0.326,0.308,0.242,1
73.0,107.0,73.0,107.0,0.0980392247438431,0.0980392247438431,0.075,0.007352941855788233,31.00403199585499,47.0,98.0,47.0,98.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,17.00735135169495,30.0,95.0,30.0,95.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,27.060118255469618,62.0,108.0,62.0,108.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,26.725456029785533,54.0,103.0,54.0,103.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,20.5,66.0,116.0,68.0,116.0,0.19215688109397897,0.176470592617989,0.074,0.014219609200954443,36.30771267926417,0.501,0.426,0.392,0.326,0.351,0.285,0.392,0.318,0.284,0.218,1
61.0,111.0,61.0,111.0,0.149019613862038,0.149019613862038,0.075,0.011176471039652849,29.34706118165838,50.0,103.0,51.959686279296896,103.0,0.18431372940540303,0.12941177189350098,0.074,0.013639215975999824,20.60128345707833,47.0,97.0,53.297119140625,98.0,0.18431372940540303,0.172549024224281,0.074,0.013639215975999824,15.515928638095618,52.0,105.0,52.0,105.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,22.588713996153036,54.0,108.0,54.0,108.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,25.5,61.0,110.0,61.0,110.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,28.376927247325423,0.476,0.401,0.434,0.36,0.367,0.293,0.425,0.359,0.309,0.234,1
57.0,113.0,57.0,113.0,0.133333340287209,0.133333340287209,0.084,0.011200000584125557,30.64718584144391,35.0,122.0,35.0,122.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,43.83206588788623,46.0,113.0,46.0,113.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,31.531730050855124,58.0,118.0,58.0,118.0,0.15686275064945202,0.15686275064945202,0.075,0.011764706298708901,35.7246413557925,74.0,93.0,74.0,93.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,22.588713996153036,60.0,133.0,61.0,137.0,0.18823531270027202,0.172549024224281,0.066,0.012423530638217955,54.94770240874499,0.451,0.367,0.468,0.385,0.425,0.359,0.393,0.318,0.317,0.251,1
76.0,101.0,76.0,101.0,0.10196079313755,0.10196079313755,0.083,0.00846274583041665,28.74456470360962,48.0,103.0,48.0,103.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,21.360009363293827,32.0,110.0,40.258087158203104,107.247314453125,0.18431372940540303,0.176470592617989,0.074,0.013639215975999824,28.30670841326119,43.0,120.0,43.0,120.0,0.176470592617989,0.176470592617989,0.084,0.014823529779911077,39.080046059338265,54.0,123.0,54.0,123.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,40.5,84.0,110.0,84.0,110.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,40.697051490249265,0.492,0.409,0.401,0.351,0.333,0.259,0.485,0.401,0.292,0.234,1
65.0,77.0,65.0,77.0,0.133333340287209,0.133333340287209,0.075,0.010000000521540675,12.298373876248844,51.0,105.0,51.0,105.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,22.699118925632334,60.0,79.0,62.931304931640604,79.0,0.180392161011696,0.172549024224281,0.074,0.013349019914865503,9.592612145914572,70.0,101.0,70.0,101.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,24.45914961727002,60.0,112.0,60.0,112.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,30.103986446980738,77.0,101.0,77.0,101.0,0.18823531270027202,0.18823531270027202,0.092,0.017317648768425026,29.516944286290883,0.451,0.376,0.384,0.301,0.358,0.284,0.384,0.309,0.292,0.192,1
66.0,111.0,56.0,111.0,0.12941177189350098,0.160784319043159,0.1,0.012941177189350098,28.570089254323307,67.0,124.0,67.0,124.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,43.48850422812907,47.0,86.0,50.0,85.0,0.18431372940540303,0.176470592617989,0.083,0.015298039540648452,4.716990566028302,70.0,100.0,70.0,100.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,23.71181140275875,59.0,90.0,59.0,90.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,9.013878188659973,62.0,97.0,62.0,97.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,16.560495161679196,0.418,0.318,0.358,0.292,0.342,0.259,0.376,0.309,0.267,0.184,1
71.0,122.0,71.0,122.0,0.11764706671237898,0.11764706671237898,0.083,0.009764706537127457,43.00290687848904,62.0,92.0,62.0,92.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,12.419742348374221,60.0,87.0,60.0,87.0,0.18431372940540303,0.18431372940540303,0.084,0.015482353270053855,7.5,68.0,71.0,65.0,71.0,0.172549024224281,0.176470592617989,0.066,0.011388235598802548,15.913830462839549,51.0,87.0,51.0,87.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,5.408326913195984,76.0,114.0,79.8997344970703,114.0,0.18823531270027202,0.176470592617989,0.066,0.012423530638217955,40.78046403633403,0.426,0.343,0.383,0.309,0.326,0.242,0.35,0.284,0.259,0.192,1
49.0,69.0,49.0,69.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,14.396180048887969,90.0,94.0,90.0,94.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,37.79219496139381,69.0,78.0,69.0,78.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,15.660459763365825,36.0,89.0,36.0,89.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,19.13765920900464,35.0,111.0,35.0,111.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,34.2527371169079,86.0,106.0,86.0,106.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,39.702015062210634,0.434,0.351,0.4,0.334,0.393,0.326,0.375,0.317,0.267,0.184,1
60.0,85.0,60.0,85.0,0.12941177189350098,0.12941177189350098,0.075,0.009705882892012572,6.5,46.0,93.0,49.9139404296875,93.0,0.18823531270027202,0.172549024224281,0.066,0.012423530638217955,11.267026351799412,57.0,78.0,65.11187744140621,76.2960205078125,0.180392161011696,0.10196079313755,0.091,0.016415686652064335,12.72647562415908,54.0,84.0,54.0,84.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,1.5,45.0,84.0,45.0,84.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,9.12414379544733,72.0,108.0,72.0,108.0,0.18823531270027202,0.18823531270027202,0.067,0.012611765950918227,31.212978070027216,0.493,0.418,0.358,0.292,0.351,0.26,0.333,0.267,0.259,0.176,1
57.0,100.0,57.0,100.0,0.152941182255745,0.152941182255745,0.082,0.01254117694497109,17.755280904564703,56.0,96.0,56.0,96.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,13.647344063956181,42.0,116.0,42.0,116.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,35.58440669731617,53.0,116.0,53.0,116.0,0.172549024224281,0.172549024224281,0.084,0.014494118034839605,33.514922049737784,11.0,116.0,11.0,116.0,0.164705887436867,0.164705887436867,0.117,0.01927058883011344,54.50917353987308,50.0,138.0,50.0,138.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,55.64395744373328,0.324,0.242,0.65,0.559,0.484,0.417,0.442,0.358,0.66,0.543,2
60.0,86.0,60.0,86.0,0.149019613862038,0.149019613862038,0.067,0.009984314128756546,6.946221994724902,71.0,92.0,71.0,92.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,19.474342094150447,50.0,89.0,50.0,89.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,7.632168761236874,65.0,92.0,65.0,92.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,14.534441853748634,62.0,122.0,62.0,122.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,40.30198506277327,61.0,106.0,61.0,106.0,0.172549024224281,0.172549024224281,0.133,0.022949020221829375,24.520399670478458,0.35,0.283,0.484,0.417,0.434,0.326,0.384,0.301,0.426,0.318,2
50.0,102.0,50.0,102.0,0.14509804546833,0.14509804546833,0.108,0.01567058891057964,19.90602923739438,72.0,126.0,72.0,126.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,47.077064479425644,55.0,67.0,55.0,67.0,0.152941182255745,0.152941182255745,0.109,0.016670588865876204,15.532224567009067,66.0,95.0,66.0,95.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,17.327723451163457,71.0,122.0,71.0,122.0,0.172549024224281,0.172549024224281,0.142,0.0245019614398479,43.00290687848904,74.0,79.0,74.0,79.0,0.176470592617989,0.176470592617989,0.159,0.028058824226260253,20.303940504246953,0.484,0.376,0.417,0.326,0.468,0.359,0.308,0.25,0.409,0.267,2
73.0,76.0,73.0,76.0,0.121568635106087,0.121568635106087,0.066,0.008023529917001742,20.081085628023203,85.0,123.0,85.0,123.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,51.00245092149984,26.0,78.0,26.0,78.0,0.164705887436867,0.164705887436867,0.041,0.006752941384911548,28.359301824974466,61.0,90.0,61.0,90.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,10.259142264341596,58.0,134.0,58.0,134.0,0.176470592617989,0.176470592617989,0.117,0.020647059336304716,51.655106233556424,69.0,85.0,69.0,85.0,0.176470592617989,0.176470592617989,0.141,0.02488235355913645,15.20690632574555,0.316,0.25,0.485,0.393,0.483,0.442,0.301,0.234,0.376,0.259,2
82.0,79.0,82.0,79.0,0.10196079313755,0.10196079313755,0.075,0.007647059485316249,28.217902119044926,65.0,126.0,65.0,126.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,44.86925450684466,52.0,82.0,52.0,82.0,0.180392161011696,0.180392161011696,0.109,0.019662745550274863,2.0615528128088303,46.0,82.0,46.0,82.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,8.0156097709407,64.0,120.0,64.0,120.0,0.176470592617989,0.176470592617989,0.158,0.027882353633642262,38.81043674065006,89.0,84.0,89.0,84.0,0.180392161011696,0.180392161011696,0.166,0.029945098727941537,35.03212811120672,0.317,0.242,0.384,0.284,0.384,0.275,0.259,0.167,0.359,0.201,2
74.0,50.0,74.0,50.0,0.12941177189350098,0.12941177189350098,0.083,0.010741177067160582,38.16084380618437,63.0,135.0,63.0,135.0,0.176470592617989,0.176470592617989,0.15,0.02647058889269835,53.26584271369411,23.0,91.0,23.0,91.0,0.172549024224281,0.172549024224281,0.116,0.020015686810016597,32.14420632089086,60.0,108.0,60.0,108.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,26.196373794859472,52.0,119.0,52.0,119.0,0.176470592617989,0.176470592617989,0.125,0.022058824077248625,36.55475345286848,76.0,104.0,76.0,104.0,0.180392161011696,0.180392161011696,0.133,0.02399215741455557,30.76117683054405,0.284,0.201,0.451,0.301,0.417,0.301,0.317,0.226,0.393,0.268,2
71.0,56.0,71.0,56.0,0.121568635106087,0.121568635106087,0.1,0.0121568635106087,31.48412298286233,86.0,96.0,86.0,96.0,0.176470592617989,0.176470592617989,0.142,0.025058824151754436,34.73110997362451,53.0,95.0,53.0,95.0,0.176470592617989,0.176470592617989,0.133,0.02347058881819254,12.539936203984453,46.0,85.0,46.0,85.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,8.381527307120106,31.0,141.0,31.0,141.0,0.172549024224281,0.172549024224281,0.134,0.023121569246053655,62.8589691293136,96.0,131.0,96.0,131.0,0.176470592617989,0.176470592617989,0.158,0.027882353633642262,64.15800807381726,0.317,0.217,0.443,0.301,0.367,0.234,0.317,0.217,0.376,0.242,2
82.0,71.0,82.0,71.0,0.109803929924965,0.109803929924965,0.074,0.00812549081444741,30.26962173533062,53.0,109.0,53.0,109.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,26.51886121235224,40.0,80.0,40.0,80.0,0.176470592617989,0.176470592617989,0.125,0.022058824077248625,14.221462653327892,54.0,81.0,54.0,81.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,1.5,35.0,149.0,35.0,149.0,0.176470592617989,0.176470592617989,0.158,0.027882353633642262,69.16104394816492,65.0,85.0,54.0,98.0,0.172549024224281,0.12941177189350098,0.2,0.034509804844856204,15.5,0.292,0.218,0.367,0.267,0.359,0.234,0.292,0.209,0.359,0.201,2
79.0,68.0,79.0,68.0,0.121568635106087,0.121568635106087,0.083,0.01009019671380522,28.90069203323685,61.0,100.0,61.0,100.0,0.176470592617989,0.176470592617989,0.134,0.02364705941081053,18.848076824970764,53.0,72.0,53.0,72.0,0.176470592617989,0.176470592617989,0.125,0.022058824077248625,10.547511554864494,50.0,104.0,50.0,104.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,21.86892772862904,42.0,105.0,40.0211181640625,106.978881835938,0.176470592617989,0.113725498318672,0.15,0.02647058889269835,28.18908996971911,80.0,102.0,80.0,102.0,0.180392161011696,0.180392161011696,0.184,0.03319215762615206,32.5,0.267,0.184,0.409,0.275,0.309,0.184,0.225,0.125,0.334,0.184,2
93.0,53.0,93.0,53.0,0.0823529437184334,0.0823529437184334,0.091,0.007494117878377438,48.9004089962446,92.0,110.0,92.0,110.0,0.176470592617989,0.176470592617989,0.125,0.022058824077248625,46.90682253148256,73.0,111.0,73.0,111.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,34.2527371169079,49.0,88.0,49.0,88.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,7.433034373659253,65.0,150.0,60.0,151.0,0.180392161011696,0.113725498318672,0.133,0.02399215741455557,68.76227163205125,80.0,70.0,80.0,70.0,0.180392161011696,0.180392161011696,0.158,0.02850196143984797,28.848743473503312,0.325,0.234,0.526,0.401,0.292,0.192,0.292,0.192,0.343,0.21,2
41.0,114.0,41.0,114.0,0.172549024224281,0.172549024224281,0.049,0.00845490218698977,34.077118422777474,57.0,93.0,57.0,93.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,10.920164833920778,48.0,78.0,48.0,78.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,7.5,37.0,78.0,37.0,78.0,0.176470592617989,0.176470592617989,0.033,0.005823529556393638,17.585505395068974,61.0,98.0,61.0,98.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,17.00735135169495,24.0,116.0,24.0,116.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,44.9694340635948,0.35,0.301,0.334,0.276,0.267,0.226,0.333,0.3,0.192,0.142,3
68.0,111.0,68.0,111.0,0.152941182255745,0.152941182255745,0.05,0.0076470591127872495,31.752952618614856,55.0,65.0,55.0,65.0,0.180392161011696,0.180392161011696,0.049,0.008839215889573104,17.528548142958105,54.0,72.0,54.0,72.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,10.5,32.0,100.0,32.0,100.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,28.111385593741193,76.0,91.0,76.0,91.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,23.58495283014151,24.0,109.0,24.0,109.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,40.02811511925087,0.41,0.36,0.383,0.334,0.284,0.217,0.376,0.335,0.283,0.225,3
